year,province,district,old_district,new_district,cabinet_origin,cabinet_represents,gen_altered
2011,artvin,borcka,0,0,0,0,0
2012,artvin,borcka,0,0,0,0,0
2013,artvin,borcka,0,0,0,0,0
2014,artvin,borcka,0,0,0,0,0
2015,artvin,borcka,0,0,0,0,0
2016,artvin,borcka,0,0,0,0,0
2017,artvin,borcka,0,0,0,0,0
2018,artvin,borcka,0,0,0,0,0
2019,artvin,borcka,0,0,0,0,0
2020,artvin,borcka,0,0,0,0,0
2002,artvin,hopa,0,0,0,0,0
2003,artvin,hopa,0,0,0,0,0
2004,artvin,hopa,0,0,0,0,0
2005,artvin,hopa,0,0,0,0,0
2006,artvin,hopa,0,0,0,0,0
2007,artvin,hopa,0,0,0,0,0
2008,artvin,hopa,0,0,0,0,0
2009,artvin,hopa,0,0,0,0,0
2010,artvin,hopa,0,0,0,0,0
2011,artvin,hopa,0,0,0,0,0
2012,artvin,hopa,0,0,0,0,0
2013,artvin,hopa,0,0,0,0,0
2014,artvin,hopa,0,0,0,0,0
2015,artvin,hopa,0,0,0,0,0
2016,artvin,hopa,0,0,0,0,0
2017,artvin,hopa,0,0,0,0,0
2018,artvin,hopa,0,0,0,0,0
2019,artvin,hopa,0,0,0,0,0
2020,artvin,hopa,0,0,0,0,0
2017,artvin,kemalpasa,0,1,0,0,0
2018,artvin,kemalpasa,0,1,0,0,0
2019,artvin,kemalpasa,0,1,0,0,0
2020,artvin,kemalpasa,0,1,0,0,0
2002,artvin,merkez,0,0,0,0,0
2003,artvin,merkez,0,0,0,0,0
2004,artvin,merkez,0,0,0,0,0
2005,artvin,merkez,0,0,0,0,0
2006,artvin,merkez,0,0,0,0,0
2007,artvin,merkez,0,0,0,0,0
2008,artvin,merkez,0,0,0,0,0
2009,artvin,merkez,0,0,0,0,0
2010,artvin,merkez,0,0,0,0,0
2011,artvin,merkez,0,0,0,0,0
2012,artvin,merkez,0,0,0,0,0
2013,artvin,merkez,0,0,0,0,0
2014,artvin,merkez,0,0,0,0,0
2015,artvin,merkez,0,0,0,0,0
2016,artvin,merkez,0,0,0,0,0
2017,artvin,merkez,0,0,0,0,0
2018,artvin,merkez,0,0,0,0,0
2019,artvin,merkez,0,0,0,0,0
2020,artvin,merkez,0,0,0,0,0
2002,artvin,murgul,0,0,0,0,0
2003,artvin,murgul,0,0,0,0,0
2004,artvin,murgul,0,0,0,0,0
2005,artvin,murgul,0,0,0,0,0
2006,artvin,murgul,0,0,0,0,0
2007,artvin,murgul,0,0,0,0,0
2008,artvin,murgul,0,0,0,0,0
2009,artvin,murgul,0,0,0,0,0
2010,artvin,murgul,0,0,0,0,0
2011,artvin,murgul,0,0,0,0,0
2012,artvin,murgul,0,0,0,0,0
2013,artvin,murgul,0,0,0,0,0
2014,artvin,murgul,0,0,0,0,0
2015,artvin,murgul,0,0,0,0,0
2016,artvin,murgul,0,0,0,0,0
2017,artvin,murgul,0,0,0,0,0
2018,artvin,murgul,0,0,0,0,0
2019,artvin,murgul,0,0,0,0,0
2020,artvin,murgul,0,0,0,0,0
2002,artvin,savsat,0,0,0,0,0
2003,artvin,savsat,0,0,0,0,0
2004,artvin,savsat,0,0,0,0,0
2005,artvin,savsat,0,0,0,0,0
2006,artvin,savsat,0,0,0,0,0
2007,artvin,savsat,0,0,0,0,0
2008,artvin,savsat,0,0,0,0,0
2009,artvin,savsat,0,0,0,0,0
2010,artvin,savsat,0,0,0,0,0
2011,artvin,savsat,0,0,0,0,0
2012,artvin,savsat,0,0,0,0,0
2013,artvin,savsat,0,0,0,0,0
2014,artvin,savsat,0,0,0,0,0
2015,artvin,savsat,0,0,0,0,0
2016,artvin,savsat,0,0,0,0,0
2017,artvin,savsat,0,0,0,0,0
2018,artvin,savsat,0,0,0,0,0
2019,artvin,savsat,0,0,0,0,0
2020,artvin,savsat,0,0,0,0,0
2002,artvin,yusufeli,0,0,0,0,0
2003,artvin,yusufeli,0,0,0,0,0
2004,artvin,yusufeli,0,0,0,0,0
2005,artvin,yusufeli,0,0,0,0,0
2006,artvin,yusufeli,0,0,0,0,0
2007,artvin,yusufeli,0,0,0,0,0
2008,artvin,yusufeli,0,0,0,0,0
2009,artvin,yusufeli,0,0,0,0,0
2010,artvin,yusufeli,0,0,0,0,0
2011,artvin,yusufeli,0,0,0,0,0
2012,artvin,yusufeli,0,0,0,0,0
2013,artvin,yusufeli,0,0,0,0,0
2014,artvin,yusufeli,0,0,0,0,0
2015,artvin,yusufeli,0,0,0,0,0
2016,artvin,yusufeli,0,0,0,0,0
2017,artvin,yusufeli,0,0,0,0,0
2018,artvin,yusufeli,0,0,0,0,0
2019,artvin,yusufeli,0,0,0,0,0
2020,artvin,yusufeli,0,0,0,0,0
2002,aydin,bozdogan,0,0,0,0,0
2003,aydin,bozdogan,0,0,0,0,0
2004,aydin,bozdogan,0,0,0,0,0
2005,aydin,bozdogan,0,0,1,1,0
2006,aydin,bozdogan,0,0,1,1,0
2007,aydin,bozdogan,0,0,1,1,0
2008,aydin,bozdogan,0,0,0,0,0
2009,aydin,bozdogan,0,0,0,0,0
2010,aydin,bozdogan,0,0,0,0,0
2011,aydin,bozdogan,0,0,0,0,0
2012,aydin,bozdogan,0,0,0,0,0
2013,aydin,bozdogan,0,0,0,0,0
2014,aydin,bozdogan,0,0,0,0,0
2015,aydin,bozdogan,0,0,0,0,0
2016,aydin,bozdogan,0,0,0,0,0
2017,aydin,bozdogan,0,0,0,0,0
2018,aydin,bozdogan,0,0,0,0,0
2019,aydin,bozdogan,0,0,0,0,0
2020,aydin,bozdogan,0,0,0,0,0
2002,aydin,buharkent,0,0,0,0,0
2003,aydin,buharkent,0,0,0,0,0
2004,aydin,buharkent,0,0,0,0,0
2005,aydin,buharkent,0,0,1,1,0
2006,aydin,buharkent,0,0,1,1,0
2007,aydin,buharkent,0,0,1,1,0
2008,aydin,buharkent,0,0,0,0,0
2009,aydin,buharkent,0,0,0,0,0
2010,aydin,buharkent,0,0,0,0,0
2011,aydin,buharkent,0,0,0,0,0
2012,aydin,buharkent,0,0,0,0,0
2013,aydin,buharkent,0,0,0,0,0
2014,aydin,buharkent,0,0,0,0,0
2015,aydin,buharkent,0,0,0,0,0
2016,aydin,buharkent,0,0,0,0,0
2017,aydin,buharkent,0,0,0,0,0
2018,aydin,buharkent,0,0,0,0,0
2019,aydin,buharkent,0,0,0,0,0
2020,aydin,buharkent,0,0,0,0,0
2002,aydin,cine,0,0,0,0,0
2003,aydin,cine,0,0,0,0,0
2004,aydin,cine,0,0,0,0,0
2005,aydin,cine,0,0,1,1,0
2006,aydin,cine,0,0,1,1,0
2007,aydin,cine,0,0,1,1,0
2008,aydin,cine,0,0,0,0,0
2009,aydin,cine,0,0,0,0,0
2010,aydin,cine,0,0,0,0,0
2011,aydin,cine,0,0,0,0,0
2012,aydin,cine,0,0,0,0,0
2013,aydin,cine,0,0,0,0,0
2014,aydin,cine,0,0,0,0,0
2015,aydin,cine,0,0,0,0,0
2016,aydin,cine,0,0,0,0,0
2017,aydin,cine,0,0,0,0,0
2018,aydin,cine,0,0,0,0,0
2019,aydin,cine,0,0,0,0,0
2020,aydin,cine,0,0,0,0,0
2002,aydin,didim,0,0,0,0,0
2003,aydin,didim,0,0,0,0,0
2004,aydin,didim,0,0,0,0,0
2005,aydin,didim,0,0,1,1,0
2006,aydin,didim,0,0,1,1,0
2007,aydin,didim,0,0,1,1,0
2008,aydin,didim,0,0,0,0,0
2009,aydin,didim,0,0,0,0,0
2010,aydin,didim,0,0,0,0,0
2011,aydin,didim,0,0,0,0,0
2012,aydin,didim,0,0,0,0,0
2013,aydin,didim,0,0,0,0,0
2014,aydin,didim,0,0,0,0,0
2015,aydin,didim,0,0,0,0,0
2016,aydin,didim,0,0,0,0,0
2017,aydin,didim,0,0,0,0,0
2018,aydin,didim,0,0,0,0,0
2019,aydin,didim,0,0,0,0,0
2020,aydin,didim,0,0,0,0,0
2013,aydin,efeler,0,1,0,0,1
2014,aydin,efeler,0,1,0,0,1
2015,aydin,efeler,0,1,0,0,0
2016,aydin,efeler,0,1,0,0,0
2017,aydin,efeler,0,1,0,0,0
2018,aydin,efeler,0,1,0,0,0
2019,aydin,efeler,0,1,0,0,0
2020,aydin,efeler,0,1,0,0,0
2002,aydin,germencik,0,0,0,0,0
2003,aydin,germencik,0,0,0,0,0
2004,aydin,germencik,0,0,0,0,0
2005,aydin,germencik,0,0,1,1,0
2006,aydin,germencik,0,0,1,1,0
2007,aydin,germencik,0,0,1,1,0
2008,aydin,germencik,0,0,0,0,0
2009,aydin,germencik,0,0,0,0,0
2010,aydin,germencik,0,0,0,0,0
2011,aydin,germencik,0,0,0,0,0
2012,aydin,germencik,0,0,0,0,0
2013,aydin,germencik,0,0,0,0,0
2014,aydin,germencik,0,0,0,0,0
2015,aydin,germencik,0,0,0,0,0
2016,aydin,germencik,0,0,0,0,0
2017,aydin,germencik,0,0,0,0,0
2018,aydin,germencik,0,0,0,0,0
2019,aydin,germencik,0,0,0,0,0
2020,aydin,germencik,0,0,0,0,0
2002,aydin,incirliova,0,0,0,0,0
2003,aydin,incirliova,0,0,0,0,0
2004,aydin,incirliova,0,0,0,0,0
2005,aydin,incirliova,0,0,1,1,0
2006,aydin,incirliova,0,0,1,1,0
2007,aydin,incirliova,0,0,1,1,0
2008,aydin,incirliova,0,0,0,0,0
2009,aydin,incirliova,0,0,0,0,0
2010,aydin,incirliova,0,0,0,0,0
2011,aydin,incirliova,0,0,0,0,0
2012,aydin,incirliova,0,0,0,0,0
2013,aydin,incirliova,0,0,0,0,0
2014,aydin,incirliova,0,0,0,0,0
2015,aydin,incirliova,0,0,0,0,0
2016,aydin,incirliova,0,0,0,0,0
2017,aydin,incirliova,0,0,0,0,0
2018,aydin,incirliova,0,0,0,0,0
2019,aydin,incirliova,0,0,0,0,0
2020,aydin,incirliova,0,0,0,0,0
2002,aydin,karacasu,0,0,0,0,0
2003,aydin,karacasu,0,0,0,0,0
2004,aydin,karacasu,0,0,0,0,0
2005,aydin,karacasu,0,0,1,1,0
2006,aydin,karacasu,0,0,1,1,0
2007,aydin,karacasu,0,0,1,1,0
2008,aydin,karacasu,0,0,0,0,0
2009,aydin,karacasu,0,0,0,0,0
2010,aydin,karacasu,0,0,0,0,0
2011,aydin,karacasu,0,0,0,0,0
2012,aydin,karacasu,0,0,0,0,0
2013,aydin,karacasu,0,0,0,0,0
2014,aydin,karacasu,0,0,0,0,0
2015,aydin,karacasu,0,0,0,0,0
2016,aydin,karacasu,0,0,0,0,0
2017,aydin,karacasu,0,0,0,0,0
2018,aydin,karacasu,0,0,0,0,0
2019,aydin,karacasu,0,0,0,0,0
2020,aydin,karacasu,0,0,0,0,0
2002,aydin,karpuzlu,0,0,0,0,0
2003,aydin,karpuzlu,0,0,0,0,0
2004,aydin,karpuzlu,0,0,0,0,0
2005,aydin,karpuzlu,0,0,1,1,0
2006,aydin,karpuzlu,0,0,1,1,0
2007,aydin,karpuzlu,0,0,1,1,0
2008,aydin,karpuzlu,0,0,0,0,0
2009,aydin,karpuzlu,0,0,0,0,0
2010,aydin,karpuzlu,0,0,0,0,0
2011,aydin,karpuzlu,0,0,0,0,0
2012,aydin,karpuzlu,0,0,0,0,0
2013,aydin,karpuzlu,0,0,0,0,0
2014,aydin,karpuzlu,0,0,0,0,0
2015,aydin,karpuzlu,0,0,0,0,0
2016,aydin,karpuzlu,0,0,0,0,0
2017,aydin,karpuzlu,0,0,0,0,0
2018,aydin,karpuzlu,0,0,0,0,0
2019,aydin,karpuzlu,0,0,0,0,0
2020,aydin,karpuzlu,0,0,0,0,0
2002,aydin,kocarli,0,0,0,0,0
2003,aydin,kocarli,0,0,0,0,0
2004,aydin,kocarli,0,0,0,0,0
2005,aydin,kocarli,0,0,1,1,0
2006,aydin,kocarli,0,0,1,1,0
2007,aydin,kocarli,0,0,1,1,0
2008,aydin,kocarli,0,0,0,0,0
2009,aydin,kocarli,0,0,0,0,0
2010,aydin,kocarli,0,0,0,0,0
2011,aydin,kocarli,0,0,0,0,0
2012,aydin,kocarli,0,0,0,0,0
2013,aydin,kocarli,0,0,0,0,0
2014,aydin,kocarli,0,0,0,0,0
2015,aydin,kocarli,0,0,0,0,0
2016,aydin,kocarli,0,0,0,0,0
2017,aydin,kocarli,0,0,0,0,0
2018,aydin,kocarli,0,0,0,0,0
2019,aydin,kocarli,0,0,0,0,0
2020,aydin,kocarli,0,0,0,0,0
2002,aydin,kosk,0,0,0,0,0
2003,aydin,kosk,0,0,0,0,0
2004,aydin,kosk,0,0,0,0,0
2005,aydin,kosk,0,0,1,1,0
2006,aydin,kosk,0,0,1,1,0
2007,aydin,kosk,0,0,1,1,0
2008,aydin,kosk,0,0,0,0,0
2009,aydin,kosk,0,0,0,0,0
2010,aydin,kosk,0,0,0,0,0
2011,aydin,kosk,0,0,0,0,0
2012,aydin,kosk,0,0,0,0,0
2013,aydin,kosk,0,0,0,0,0
2014,aydin,kosk,0,0,0,0,0
2015,aydin,kosk,0,0,0,0,0
2016,aydin,kosk,0,0,0,0,0
2017,aydin,kosk,0,0,0,0,0
2018,aydin,kosk,0,0,0,0,0
2019,aydin,kosk,0,0,0,0,0
2020,aydin,kosk,0,0,0,0,0
2002,aydin,kusadasi,0,0,0,0,0
2003,aydin,kusadasi,0,0,0,0,0
2004,aydin,kusadasi,0,0,0,0,0
2005,aydin,kusadasi,0,0,1,1,0
2006,aydin,kusadasi,0,0,1,1,0
2007,aydin,kusadasi,0,0,1,1,0
2008,aydin,kusadasi,0,0,0,0,0
2009,aydin,kusadasi,0,0,0,0,0
2010,aydin,kusadasi,0,0,0,0,0
2011,aydin,kusadasi,0,0,0,0,0
2012,aydin,kusadasi,0,0,0,0,0
2013,aydin,kusadasi,0,0,0,0,0
2014,aydin,kusadasi,0,0,0,0,0
2015,aydin,kusadasi,0,0,0,0,0
2016,aydin,kusadasi,0,0,0,0,0
2017,aydin,kusadasi,0,0,0,0,0
2018,aydin,kusadasi,0,0,0,0,0
2019,aydin,kusadasi,0,0,0,0,0
2020,aydin,kusadasi,0,0,0,0,0
2002,aydin,kuyucak,0,0,0,0,0
2003,aydin,kuyucak,0,0,0,0,0
2004,aydin,kuyucak,0,0,0,0,0
2005,aydin,kuyucak,0,0,1,1,0
2006,aydin,kuyucak,0,0,1,1,0
2007,aydin,kuyucak,0,0,1,1,0
2008,aydin,kuyucak,0,0,0,0,0
2009,aydin,kuyucak,0,0,0,0,0
2010,aydin,kuyucak,0,0,0,0,0
2011,aydin,kuyucak,0,0,0,0,0
2012,aydin,kuyucak,0,0,0,0,0
2013,aydin,kuyucak,0,0,0,0,0
2014,aydin,kuyucak,0,0,0,0,0
2015,aydin,kuyucak,0,0,0,0,0
2016,aydin,kuyucak,0,0,0,0,0
2017,aydin,kuyucak,0,0,0,0,0
2018,aydin,kuyucak,0,0,0,0,0
2019,aydin,kuyucak,0,0,0,0,0
2020,aydin,kuyucak,0,0,0,0,0
2002,aydin,merkez,1,0,0,0,0
2003,aydin,merkez,1,0,0,0,0
2004,aydin,merkez,1,0,0,0,0
2005,aydin,merkez,1,0,1,1,0
2006,aydin,merkez,1,0,1,1,0
2007,aydin,merkez,1,0,1,1,0
2008,aydin,merkez,1,0,0,0,0
2009,aydin,merkez,1,0,0,0,0
2010,aydin,merkez,1,0,0,0,0
2011,aydin,merkez,1,0,0,0,0
2012,aydin,merkez,1,0,0,0,0
2002,aydin,nazilli,0,0,0,0,0
2003,aydin,nazilli,0,0,0,0,0
2004,aydin,nazilli,0,0,0,0,0
2005,aydin,nazilli,0,0,1,1,0
2006,aydin,nazilli,0,0,1,1,0
2007,aydin,nazilli,0,0,1,1,0
2008,aydin,nazilli,0,0,0,0,0
2009,aydin,nazilli,0,0,0,0,0
2010,aydin,nazilli,0,0,0,0,0
2011,aydin,nazilli,0,0,0,0,0
2012,aydin,nazilli,0,0,0,0,0
2013,aydin,nazilli,0,0,0,0,0
2014,aydin,nazilli,0,0,0,0,0
2015,aydin,nazilli,0,0,0,0,0
2016,aydin,nazilli,0,0,0,0,0
2017,aydin,nazilli,0,0,0,0,0
2018,aydin,nazilli,0,0,0,0,0
2019,aydin,nazilli,0,0,0,0,0
2020,aydin,nazilli,0,0,0,0,0
2002,aydin,soke,0,0,0,0,0
2003,aydin,soke,0,0,0,0,0
2004,aydin,soke,0,0,0,0,0
2005,aydin,soke,0,0,1,1,0
2006,aydin,soke,0,0,1,1,0
2007,aydin,soke,0,0,1,1,0
2008,aydin,soke,0,0,0,0,0
2009,aydin,soke,0,0,0,0,0
2010,aydin,soke,0,0,0,0,0
2011,aydin,soke,0,0,0,0,0
2012,aydin,soke,0,0,0,0,0
2013,aydin,soke,0,0,0,0,0
2014,aydin,soke,0,0,0,0,0
2015,aydin,soke,0,0,0,0,0
2016,aydin,soke,0,0,0,0,0
2017,aydin,soke,0,0,0,0,0
2018,aydin,soke,0,0,0,0,0
2019,aydin,soke,0,0,0,0,0
2020,aydin,soke,0,0,0,0,0
2002,aydin,sultanhisar,0,0,0,0,0
2003,aydin,sultanhisar,0,0,0,0,0
2004,aydin,sultanhisar,0,0,0,0,0
2005,aydin,sultanhisar,0,0,1,1,0
2006,aydin,sultanhisar,0,0,1,1,0
2007,aydin,sultanhisar,0,0,1,1,0
2008,aydin,sultanhisar,0,0,0,0,0
2009,aydin,sultanhisar,0,0,0,0,0
2010,aydin,sultanhisar,0,0,0,0,0
2011,aydin,sultanhisar,0,0,0,0,0
2012,aydin,sultanhisar,0,0,0,0,0
2013,aydin,sultanhisar,0,0,0,0,0
2014,aydin,sultanhisar,0,0,0,0,0
2015,aydin,sultanhisar,0,0,0,0,0
2016,aydin,sultanhisar,0,0,0,0,0
2017,aydin,sultanhisar,0,0,0,0,0
2018,aydin,sultanhisar,0,0,0,0,0
2019,aydin,sultanhisar,0,0,0,0,0
2020,aydin,sultanhisar,0,0,0,0,0
2002,aydin,yenipazar,0,0,0,0,0
2003,aydin,yenipazar,0,0,0,0,0
2004,aydin,yenipazar,0,0,0,0,0
2005,aydin,yenipazar,0,0,1,1,0
2006,aydin,yenipazar,0,0,1,1,0
2007,aydin,yenipazar,0,0,1,1,0
2008,aydin,yenipazar,0,0,0,0,0
2009,aydin,yenipazar,0,0,0,0,0
2010,aydin,yenipazar,0,0,0,0,0
2011,aydin,yenipazar,0,0,0,0,0
2012,aydin,yenipazar,0,0,0,0,0
2013,aydin,yenipazar,0,0,0,0,0
2014,aydin,yenipazar,0,0,0,0,0
2015,aydin,yenipazar,0,0,0,0,0
2016,aydin,yenipazar,0,0,0,0,0
2017,aydin,yenipazar,0,0,0,0,0
2018,aydin,yenipazar,0,0,0,0,0
2019,aydin,yenipazar,0,0,0,0,0
2020,aydin,yenipazar,0,0,0,0,0
2013,balikesir,altieylul,0,1,0,0,1
2014,balikesir,altieylul,0,1,0,0,1
2015,balikesir,altieylul,0,1,0,0,0
2016,balikesir,altieylul,0,1,0,0,0
2017,balikesir,altieylul,0,1,0,0,0
2018,balikesir,altieylul,0,1,0,0,0
2019,balikesir,altieylul,0,1,0,0,0
2020,balikesir,altieylul,0,1,0,0,0
2002,balikesir,ayvalik,0,0,0,0,0
2003,balikesir,ayvalik,0,0,0,0,0
2004,balikesir,ayvalik,0,0,0,0,0
2005,balikesir,ayvalik,0,0,0,0,0
2006,balikesir,ayvalik,0,0,0,0,0
2007,balikesir,ayvalik,0,0,0,0,0
2008,balikesir,ayvalik,0,0,0,0,0
2009,balikesir,ayvalik,0,0,0,0,0
2010,balikesir,ayvalik,0,0,0,0,0
2011,balikesir,ayvalik,0,0,0,0,0
2012,balikesir,ayvalik,0,0,0,0,0
2013,balikesir,ayvalik,0,0,0,0,0
2014,balikesir,ayvalik,0,0,0,0,0
2015,balikesir,ayvalik,0,0,0,0,0
2016,balikesir,ayvalik,0,0,0,0,0
2017,balikesir,ayvalik,0,0,0,0,0
2018,balikesir,ayvalik,0,0,0,0,0
2019,balikesir,ayvalik,0,0,0,0,0
2020,balikesir,ayvalik,0,0,0,0,0
2002,balikesir,balya,0,0,0,0,0
2003,balikesir,balya,0,0,0,0,0
2004,balikesir,balya,0,0,0,0,0
2005,balikesir,balya,0,0,0,0,0
2006,balikesir,balya,0,0,0,0,0
2007,balikesir,balya,0,0,0,0,0
2008,balikesir,balya,0,0,0,0,0
2009,balikesir,balya,0,0,0,0,0
2010,balikesir,balya,0,0,0,0,0
2011,balikesir,balya,0,0,0,0,0
2012,balikesir,balya,0,0,0,0,0
2013,balikesir,balya,0,0,0,0,0
2014,balikesir,balya,0,0,0,0,0
2015,balikesir,balya,0,0,0,0,0
2016,balikesir,balya,0,0,0,0,0
2017,balikesir,balya,0,0,0,0,0
2018,balikesir,balya,0,0,0,0,0
2019,balikesir,balya,0,0,0,0,0
2020,balikesir,balya,0,0,0,0,0
2002,balikesir,bandirma,0,0,0,0,0
2003,balikesir,bandirma,0,0,0,0,0
2004,balikesir,bandirma,0,0,0,0,0
2005,balikesir,bandirma,0,0,0,0,0
2006,balikesir,bandirma,0,0,0,0,0
2007,balikesir,bandirma,0,0,0,0,0
2008,balikesir,bandirma,0,0,0,0,0
2009,balikesir,bandirma,0,0,0,0,0
2010,balikesir,bandirma,0,0,0,0,0
2011,balikesir,bandirma,0,0,0,0,0
2012,balikesir,bandirma,0,0,0,0,0
2013,balikesir,bandirma,0,0,0,0,0
2014,balikesir,bandirma,0,0,0,0,0
2015,balikesir,bandirma,0,0,0,0,0
2016,balikesir,bandirma,0,0,0,0,0
2017,balikesir,bandirma,0,0,0,0,0
2018,balikesir,bandirma,0,0,0,0,0
2019,balikesir,bandirma,0,0,0,0,0
2020,balikesir,bandirma,0,0,0,0,0
2002,balikesir,bigadic,0,0,0,0,0
2003,balikesir,bigadic,0,0,0,0,0
2004,balikesir,bigadic,0,0,0,0,0
2005,balikesir,bigadic,0,0,0,0,0
2006,balikesir,bigadic,0,0,0,0,0
2007,balikesir,bigadic,0,0,0,0,0
2008,balikesir,bigadic,0,0,0,0,0
2009,balikesir,bigadic,0,0,0,0,0
2010,balikesir,bigadic,0,0,0,0,0
2011,balikesir,bigadic,0,0,0,0,0
2012,balikesir,bigadic,0,0,0,0,0
2013,balikesir,bigadic,0,0,0,0,0
2014,balikesir,bigadic,0,0,0,0,0
2015,balikesir,bigadic,0,0,0,0,0
2016,balikesir,bigadic,0,0,0,0,0
2017,balikesir,bigadic,0,0,0,0,0
2018,balikesir,bigadic,0,0,0,0,0
2019,balikesir,bigadic,0,0,0,0,0
2020,balikesir,bigadic,0,0,0,0,0
2002,balikesir,burhaniye,0,0,0,0,0
2003,balikesir,burhaniye,0,0,0,0,0
2004,balikesir,burhaniye,0,0,0,0,0
2005,balikesir,burhaniye,0,0,0,0,0
2006,balikesir,burhaniye,0,0,0,0,0
2007,balikesir,burhaniye,0,0,0,0,0
2008,balikesir,burhaniye,0,0,0,0,0
2009,balikesir,burhaniye,0,0,0,0,0
2010,balikesir,burhaniye,0,0,0,0,0
2011,balikesir,burhaniye,0,0,0,0,0
2012,balikesir,burhaniye,0,0,0,0,0
2013,balikesir,burhaniye,0,0,0,0,0
2014,balikesir,burhaniye,0,0,0,0,0
2015,balikesir,burhaniye,0,0,0,0,0
2016,balikesir,burhaniye,0,0,0,0,0
2017,balikesir,burhaniye,0,0,0,0,0
2018,balikesir,burhaniye,0,0,0,0,0
2019,balikesir,burhaniye,0,0,0,0,0
2020,balikesir,burhaniye,0,0,0,0,0
2002,balikesir,dursunbey,0,0,0,0,0
2003,balikesir,dursunbey,0,0,0,0,0
2004,balikesir,dursunbey,0,0,0,0,0
2005,balikesir,dursunbey,0,0,0,0,0
2006,balikesir,dursunbey,0,0,0,0,0
2007,balikesir,dursunbey,0,0,0,0,0
2008,balikesir,dursunbey,0,0,0,0,0
2009,balikesir,dursunbey,0,0,0,0,0
2010,balikesir,dursunbey,0,0,0,0,0
2011,balikesir,dursunbey,0,0,0,0,0
2012,balikesir,dursunbey,0,0,0,0,0
2013,balikesir,dursunbey,0,0,0,0,0
2014,balikesir,dursunbey,0,0,0,0,0
2015,balikesir,dursunbey,0,0,0,0,0
2016,balikesir,dursunbey,0,0,0,0,0
2017,balikesir,dursunbey,0,0,0,0,0
2018,balikesir,dursunbey,0,0,0,0,0
2019,balikesir,dursunbey,0,0,0,0,0
2020,balikesir,dursunbey,0,0,0,0,0
2002,balikesir,edremit,0,0,0,0,0
2003,balikesir,edremit,0,0,0,0,0
2004,balikesir,edremit,0,0,0,0,0
2005,balikesir,edremit,0,0,0,0,0
2006,balikesir,edremit,0,0,0,0,0
2007,balikesir,edremit,0,0,0,0,0
2008,balikesir,edremit,0,0,0,0,0
2009,balikesir,edremit,0,0,0,0,0
2010,balikesir,edremit,0,0,0,0,0
2011,balikesir,edremit,0,0,0,0,0
2012,balikesir,edremit,0,0,0,0,0
2013,balikesir,edremit,0,0,0,0,0
2014,balikesir,edremit,0,0,0,0,0
2015,balikesir,edremit,0,0,0,0,0
2016,balikesir,edremit,0,0,0,0,0
2017,balikesir,edremit,0,0,0,0,0
2018,balikesir,edremit,0,0,0,0,0
2019,balikesir,edremit,0,0,0,0,0
2020,balikesir,edremit,0,0,0,0,0
2002,balikesir,erdek,0,0,0,0,0
2003,balikesir,erdek,0,0,0,0,0
2004,balikesir,erdek,0,0,0,0,0
2005,balikesir,erdek,0,0,0,0,0
2006,balikesir,erdek,0,0,0,0,0
2007,balikesir,erdek,0,0,0,0,0
2008,balikesir,erdek,0,0,0,0,0
2009,balikesir,erdek,0,0,0,0,0
2010,balikesir,erdek,0,0,0,0,0
2011,balikesir,erdek,0,0,0,0,0
2012,balikesir,erdek,0,0,0,0,0
2013,balikesir,erdek,0,0,0,0,0
2014,balikesir,erdek,0,0,0,0,0
2015,balikesir,erdek,0,0,0,0,0
2016,balikesir,erdek,0,0,0,0,0
2017,balikesir,erdek,0,0,0,0,0
2018,balikesir,erdek,0,0,0,0,0
2019,balikesir,erdek,0,0,0,0,0
2020,balikesir,erdek,0,0,0,0,0
2002,balikesir,gomec,0,0,0,0,0
2003,balikesir,gomec,0,0,0,0,0
2004,balikesir,gomec,0,0,0,0,0
2005,balikesir,gomec,0,0,0,0,0
2006,balikesir,gomec,0,0,0,0,0
2007,balikesir,gomec,0,0,0,0,0
2008,balikesir,gomec,0,0,0,0,0
2009,balikesir,gomec,0,0,0,0,0
2010,balikesir,gomec,0,0,0,0,0
2011,balikesir,gomec,0,0,0,0,0
2012,balikesir,gomec,0,0,0,0,0
2013,balikesir,gomec,0,0,0,0,0
2014,balikesir,gomec,0,0,0,0,0
2015,balikesir,gomec,0,0,0,0,0
2016,balikesir,gomec,0,0,0,0,0
2017,balikesir,gomec,0,0,0,0,0
2018,balikesir,gomec,0,0,0,0,0
2019,balikesir,gomec,0,0,0,0,0
2020,balikesir,gomec,0,0,0,0,0
2002,balikesir,gonen,0,0,0,0,0
2003,balikesir,gonen,0,0,0,0,0
2004,balikesir,gonen,0,0,0,0,0
2005,balikesir,gonen,0,0,0,0,0
2006,balikesir,gonen,0,0,0,0,0
2007,balikesir,gonen,0,0,0,0,0
2008,balikesir,gonen,0,0,0,0,0
2009,balikesir,gonen,0,0,0,0,0
2010,balikesir,gonen,0,0,0,0,0
2011,balikesir,gonen,0,0,0,0,0
2012,balikesir,gonen,0,0,0,0,0
2013,balikesir,gonen,0,0,0,0,0
2014,balikesir,gonen,0,0,0,0,0
2015,balikesir,gonen,0,0,0,0,0
2016,balikesir,gonen,0,0,0,0,0
2017,balikesir,gonen,0,0,0,0,0
2018,balikesir,gonen,0,0,0,0,0
2019,balikesir,gonen,0,0,0,0,0
2020,balikesir,gonen,0,0,0,0,0
2002,balikesir,havran,0,0,0,0,0
