year,province,district,province_district,year_province_district,turnout_rate,akp,chp,mhp,hdp,sp
2002,kastamonu,abana,kastamonu_abana,2002_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2003,kastamonu,abana,kastamonu_abana,2003_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2004,kastamonu,abana,kastamonu_abana,2004_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2005,kastamonu,abana,kastamonu_abana,2005_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2006,kastamonu,abana,kastamonu_abana,2006_kastamonu_abana,73.7,34.16,22.26,5.68,0.99,0.68
2007,kastamonu,abana,kastamonu_abana,2007_kastamonu_abana,86.44,50.44,21.16,12.96,0,1.47
2008,kastamonu,abana,kastamonu_abana,2008_kastamonu_abana,86.44,50.44,21.16,12.96,0,1.47
2009,kastamonu,abana,kastamonu_abana,2009_kastamonu_abana,86.44,50.44,21.16,12.96,0,1.47
2010,kastamonu,abana,kastamonu_abana,2010_kastamonu_abana,86.44,50.44,21.16,12.96,0,1.47
2011,kastamonu,abana,kastamonu_abana,2011_kastamonu_abana,87.4,57.9,27.7,9.3,0,1.1
2012,kastamonu,abana,kastamonu_abana,2012_kastamonu_abana,87.4,57.9,27.7,9.3,0,1.1
2013,kastamonu,abana,kastamonu_abana,2013_kastamonu_abana,87.4,57.9,27.7,9.3,0,1.1
2014,kastamonu,abana,kastamonu_abana,2014_kastamonu_abana,87.4,57.9,27.7,9.3,0,1.1
2015,kastamonu,abana,kastamonu_abana,2015_kastamonu_abana,80.9,52.3,27.9,15.1,0.8,1.7
2016,kastamonu,abana,kastamonu_abana,2016_kastamonu_abana,81.4,60.7,26.7,9.1,0.3,0.6
2017,kastamonu,abana,kastamonu_abana,2017_kastamonu_abana,81.4,60.7,26.7,9.1,0.3,0.6
2018,kastamonu,abana,kastamonu_abana,2018_kastamonu_abana,86.9,54.4,25.1,10.1,0.8,0.9
2019,kastamonu,abana,kastamonu_abana,2019_kastamonu_abana,86.9,54.4,25.1,10.1,0.8,0.9
2020,kastamonu,abana,kastamonu_abana,2020_kastamonu_abana,86.9,54.4,25.1,10.1,0.8,0.9
2002,nevsehir,acigol,nevsehir_acigol,2002_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2003,nevsehir,acigol,nevsehir_acigol,2003_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2004,nevsehir,acigol,nevsehir_acigol,2004_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2005,nevsehir,acigol,nevsehir_acigol,2005_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2006,nevsehir,acigol,nevsehir_acigol,2006_nevsehir_acigol,78.65,57.86,6.06,5.63,1.47,7.13
2007,nevsehir,acigol,nevsehir_acigol,2007_nevsehir_acigol,82.77,71.19,5.32,10.93,0,4.91
2008,nevsehir,acigol,nevsehir_acigol,2008_nevsehir_acigol,82.77,71.19,5.32,10.93,0,4.91
2009,nevsehir,acigol,nevsehir_acigol,2009_nevsehir_acigol,82.77,71.19,5.32,10.93,0,4.91
2010,nevsehir,acigol,nevsehir_acigol,2010_nevsehir_acigol,82.77,71.19,5.32,10.93,0,4.91
2011,nevsehir,acigol,nevsehir_acigol,2011_nevsehir_acigol,86.4,80,6.2,8.4,0,2.1
2012,nevsehir,acigol,nevsehir_acigol,2012_nevsehir_acigol,86.4,80,6.2,8.4,0,2.1
2013,nevsehir,acigol,nevsehir_acigol,2013_nevsehir_acigol,86.4,80,6.2,8.4,0,2.1
2014,nevsehir,acigol,nevsehir_acigol,2014_nevsehir_acigol,86.4,80,6.2,8.4,0,2.1
2015,nevsehir,acigol,nevsehir_acigol,2015_nevsehir_acigol,85.7,76.9,5.1,13.6,0.2,2.0
2016,nevsehir,acigol,nevsehir_acigol,2016_nevsehir_acigol,88.3,86.6,3.9,6.7,0.1,0.9
2017,nevsehir,acigol,nevsehir_acigol,2017_nevsehir_acigol,88.3,86.6,3.9,6.7,0.1,0.9
2018,nevsehir,acigol,nevsehir_acigol,2018_nevsehir_acigol,91.6,74.7,4.2,14.4,0.1,1.3
2019,nevsehir,acigol,nevsehir_acigol,2019_nevsehir_acigol,91.6,74.7,4.2,14.4,0.1,1.3
2020,nevsehir,acigol,nevsehir_acigol,2020_nevsehir_acigol,91.6,74.7,4.2,14.4,0.1,1.3
2002,denizli,acipayam,denizli_acipayam,2002_denizli_acipayam,85.8,28.19,16.29,8.17,1.04,0.76
2003,denizli,acipayam,denizli_acipayam,2003_denizli_acipayam,85.8,28.19,16.29,8.17,1.04,0.76
2004,denizli,acipayam,denizli_acipayam,2004_denizli_acipayam,85.8,28.19,16.29,8.17,1.04,0.76
2005,denizli,acipayam,denizli_acipayam,2005_denizli_acipayam,85.8,28.19,16.29,8.17,1.04,0.76
2006,denizli,acipayam,denizli_acipayam,2006_denizli_acipayam,85.8,28.19,16.29,8.17,1.04,0.76
2007,denizli,acipayam,denizli_acipayam,2007_denizli_acipayam,93.2,42.98,19.43,14.96,0,1.11
2008,denizli,acipayam,denizli_acipayam,2008_denizli_acipayam,93.2,42.98,19.43,14.96,0,1.11
2009,denizli,acipayam,denizli_acipayam,2009_denizli_acipayam,93.2,42.98,19.43,14.96,0,1.11
2010,denizli,acipayam,denizli_acipayam,2010_denizli_acipayam,93.2,42.98,19.43,14.96,0,1.11
2011,denizli,acipayam,denizli_acipayam,2011_denizli_acipayam,90.5,53.9,25.6,15,0,0.6
2012,denizli,acipayam,denizli_acipayam,2012_denizli_acipayam,90.5,53.9,25.6,15,0,0.6
2013,denizli,acipayam,denizli_acipayam,2013_denizli_acipayam,90.5,53.9,25.6,15,0,0.6
2014,denizli,acipayam,denizli_acipayam,2014_denizli_acipayam,90.5,53.9,25.6,15,0,0.6
2015,denizli,acipayam,denizli_acipayam,2015_denizli_acipayam,89.1,49.1,28.3,17.7,1.0,1.4
2016,denizli,acipayam,denizli_acipayam,2016_denizli_acipayam,89.5,54.7,27.4,13.7,0.6,0.5
2017,denizli,acipayam,denizli_acipayam,2017_denizli_acipayam,89.5,54.7,27.4,13.7,0.6,0.5
2018,denizli,acipayam,denizli_acipayam,2018_denizli_acipayam,91.1,49.2,24.1,8.2,1,0.9
2019,denizli,acipayam,denizli_acipayam,2019_denizli_acipayam,91.1,49.2,24.1,8.2,1,0.9
2020,denizli,acipayam,denizli_acipayam,2020_denizli_acipayam,91.1,49.2,24.1,8.2,1,0.9
2002,bingol,adakli,bingol_adakli,2002_bingol_adakli,62.33,25.42,30.5,8.37,7.94,9.59
2003,bingol,adakli,bingol_adakli,2003_bingol_adakli,62.33,25.42,30.5,8.37,7.94,9.59
2004,bingol,adakli,bingol_adakli,2004_bingol_adakli,62.33,25.42,30.5,8.37,7.94,9.59
2005,bingol,adakli,bingol_adakli,2005_bingol_adakli,62.33,25.42,30.5,8.37,7.94,9.59
2006,bingol,adakli,bingol_adakli,2006_bingol_adakli,62.33,25.42,30.5,8.37,7.94,9.59
2007,bingol,adakli,bingol_adakli,2007_bingol_adakli,80.75,71.63,15.05,2.52,0,0.48
2008,bingol,adakli,bingol_adakli,2008_bingol_adakli,80.75,71.63,15.05,2.52,0,0.48
2009,bingol,adakli,bingol_adakli,2009_bingol_adakli,80.75,71.63,15.05,2.52,0,0.48
2010,bingol,adakli,bingol_adakli,2010_bingol_adakli,80.75,71.63,15.05,2.52,0,0.48
2011,bingol,adakli,bingol_adakli,2011_bingol_adakli,79.8,73.3,9.4,1,0,0.6
2012,bingol,adakli,bingol_adakli,2012_bingol_adakli,79.8,73.3,9.4,1,0,0.6
2013,bingol,adakli,bingol_adakli,2013_bingol_adakli,79.8,73.3,9.4,1,0,0.6
2014,bingol,adakli,bingol_adakli,2014_bingol_adakli,79.8,73.3,9.4,1,0,0.6
2015,bingol,adakli,bingol_adakli,2015_bingol_adakli,79.4,40.7,2.1,1.8,47.8,1.5
2016,bingol,adakli,bingol_adakli,2016_bingol_adakli,74.9,59.6,3.1,2.1,31,1.2
2017,bingol,adakli,bingol_adakli,2017_bingol_adakli,74.9,59.6,3.1,2.1,31,1.2
2018,bingol,adakli,bingol_adakli,2018_bingol_adakli,82.3,59.7,3.4,4.6,25.2,1
2019,bingol,adakli,bingol_adakli,2019_bingol_adakli,82.3,59.7,3.4,4.6,25.2,1
2020,bingol,adakli,bingol_adakli,2020_bingol_adakli,82.3,59.7,3.4,4.6,25.2,1
2002,istanbul,adalar,istanbul_adalar,2002_istanbul_adalar,75.17,15.94,36.22,4.79,2.77,1.38
2003,istanbul,adalar,istanbul_adalar,2003_istanbul_adalar,75.17,15.94,36.22,4.79,2.77,1.38
2004,istanbul,adalar,istanbul_adalar,2004_istanbul_adalar,75.17,15.94,36.22,4.79,2.77,1.38
2005,istanbul,adalar,istanbul_adalar,2005_istanbul_adalar,75.17,15.94,36.22,4.79,2.77,1.38
2006,istanbul,adalar,istanbul_adalar,2006_istanbul_adalar,75.17,15.94,36.22,4.79,2.77,1.38
2007,istanbul,adalar,istanbul_adalar,2007_istanbul_adalar,84.46,23.96,42.09,11.73,0,0.77
2008,istanbul,adalar,istanbul_adalar,2008_istanbul_adalar,84.46,23.96,42.09,11.73,0,0.77
2009,istanbul,adalar,istanbul_adalar,2009_istanbul_adalar,84.46,23.96,42.09,11.73,0,0.77
2010,istanbul,adalar,istanbul_adalar,2010_istanbul_adalar,84.46,23.96,42.09,11.73,0,0.77
2011,istanbul,adalar,istanbul_adalar,2011_istanbul_adalar,84.1,32.1,47.9,9.9,0,0.6
2012,istanbul,adalar,istanbul_adalar,2012_istanbul_adalar,84.1,32.1,47.9,9.9,0,0.6
2013,istanbul,adalar,istanbul_adalar,2013_istanbul_adalar,84.1,32.1,47.9,9.9,0,0.6
2014,istanbul,adalar,istanbul_adalar,2014_istanbul_adalar,84.1,32.1,47.9,9.9,0,0.6
2015,istanbul,adalar,istanbul_adalar,2015_istanbul_adalar,84.9,23.2,42.9,8.9,21.2,0.6
2016,istanbul,adalar,istanbul_adalar,2016_istanbul_adalar,83.6,27.2,46.9,6.6,17.3,0.2
2017,istanbul,adalar,istanbul_adalar,2017_istanbul_adalar,83.6,27.2,46.9,6.6,17.3,0.2
2018,istanbul,adalar,istanbul_adalar,2018_istanbul_adalar,88,22.5,40,4.6,23.3,0.7
2019,istanbul,adalar,istanbul_adalar,2019_istanbul_adalar,88,22.5,40,4.6,23.3,0.7
2020,istanbul,adalar,istanbul_adalar,2020_istanbul_adalar,88,22.5,40,4.6,23.3,0.7
2011,sakarya,adapazari,sakarya_adapazari,2011_sakarya_adapazari,88.5,57.9,18.7,16.7,0,2.3
2012,sakarya,adapazari,sakarya_adapazari,2012_sakarya_adapazari,88.5,57.9,18.7,16.7,0,2.3
2013,sakarya,adapazari,sakarya_adapazari,2013_sakarya_adapazari,88.5,57.9,18.7,16.7,0,2.3
2014,sakarya,adapazari,sakarya_adapazari,2014_sakarya_adapazari,88.5,57.9,18.7,16.7,0,2.3
2015,sakarya,adapazari,sakarya_adapazari,2015_sakarya_adapazari,87.3,52.2,18.9,20.6,3.3,3.6
2016,sakarya,adapazari,sakarya_adapazari,2016_sakarya_adapazari,88.9,63.4,18.4,13.2,2.2,1.2
2017,sakarya,adapazari,sakarya_adapazari,2017_sakarya_adapazari,88.9,63.4,18.4,13.2,2.2,1.2
2018,sakarya,adapazari,sakarya_adapazari,2018_sakarya_adapazari,89.7,53.2,16.3,13.5,2.9,2.1
2019,sakarya,adapazari,sakarya_adapazari,2019_sakarya_adapazari,89.7,53.2,16.3,13.5,2.9,2.1
2020,sakarya,adapazari,sakarya_adapazari,2020_sakarya_adapazari,89.7,53.2,16.3,13.5,2.9,2.1
2002,bitlis,adilcevaz,bitlis_adilcevaz,2002_bitlis_adilcevaz,82.17,9.71,3.4,9.85,25.45,1.41
2003,bitlis,adilcevaz,bitlis_adilcevaz,2003_bitlis_adilcevaz,82.17,9.71,3.4,9.85,25.45,1.41
2004,bitlis,adilcevaz,bitlis_adilcevaz,2004_bitlis_adilcevaz,82.17,9.71,3.4,9.85,25.45,1.41
2005,bitlis,adilcevaz,bitlis_adilcevaz,2005_bitlis_adilcevaz,82.17,9.71,3.4,9.85,25.45,1.41
2006,bitlis,adilcevaz,bitlis_adilcevaz,2006_bitlis_adilcevaz,82.17,9.71,3.4,9.85,25.45,1.41
2007,bitlis,adilcevaz,bitlis_adilcevaz,2007_bitlis_adilcevaz,84.95,50.77,19.16,8.75,0,0.45
2008,bitlis,adilcevaz,bitlis_adilcevaz,2008_bitlis_adilcevaz,84.95,50.77,19.16,8.75,0,0.45
2009,bitlis,adilcevaz,bitlis_adilcevaz,2009_bitlis_adilcevaz,84.95,50.77,19.16,8.75,0,0.45
2010,bitlis,adilcevaz,bitlis_adilcevaz,2010_bitlis_adilcevaz,84.95,50.77,19.16,8.75,0,0.45
2011,bitlis,adilcevaz,bitlis_adilcevaz,2011_bitlis_adilcevaz,80.5,41.5,1.7,15.3,37,1.4
2012,bitlis,adilcevaz,bitlis_adilcevaz,2012_bitlis_adilcevaz,80.5,41.5,1.7,15.3,37,1.4
2013,bitlis,adilcevaz,bitlis_adilcevaz,2013_bitlis_adilcevaz,80.5,41.5,1.7,15.3,37,1.4
2014,bitlis,adilcevaz,bitlis_adilcevaz,2014_bitlis_adilcevaz,80.5,41.5,1.7,15.3,37,1.4
2015,bitlis,adilcevaz,bitlis_adilcevaz,2015_bitlis_adilcevaz,82.8,26.7,1.8,6.7,61.9,0.7
2016,bitlis,adilcevaz,bitlis_adilcevaz,2016_bitlis_adilcevaz,77.9,39.6,3.4,3.9,51.3,0.3
2017,bitlis,adilcevaz,bitlis_adilcevaz,2017_bitlis_adilcevaz,77.9,39.6,3.4,3.9,51.3,0.3
2018,bitlis,adilcevaz,bitlis_adilcevaz,2018_bitlis_adilcevaz,83.9,32.8,3.5,11.1,47.3,0.8
2019,bitlis,adilcevaz,bitlis_adilcevaz,2019_bitlis_adilcevaz,83.9,32.8,3.5,11.1,47.3,0.8
2020,bitlis,adilcevaz,bitlis_adilcevaz,2020_bitlis_adilcevaz,83.9,32.8,3.5,11.1,47.3,0.8
2002,kahramanmaras,afsin,kahramanmaras_afsin,2002_kahramanmaras_afsin,69.97,46.42,11.12,13.78,2.56,0.98
2003,kahramanmaras,afsin,kahramanmaras_afsin,2003_kahramanmaras_afsin,69.97,46.42,11.12,13.78,2.56,0.98
2004,kahramanmaras,afsin,kahramanmaras_afsin,2004_kahramanmaras_afsin,69.97,46.42,11.12,13.78,2.56,0.98
2005,kahramanmaras,afsin,kahramanmaras_afsin,2005_kahramanmaras_afsin,69.97,46.42,11.12,13.78,2.56,0.98
2006,kahramanmaras,afsin,kahramanmaras_afsin,2006_kahramanmaras_afsin,69.97,46.42,11.12,13.78,2.56,0.98
2007,kahramanmaras,afsin,kahramanmaras_afsin,2007_kahramanmaras_afsin,78.23,55.38,11.67,20.28,0,1.12
2008,kahramanmaras,afsin,kahramanmaras_afsin,2008_kahramanmaras_afsin,78.23,55.38,11.67,20.28,0,1.12
2009,kahramanmaras,afsin,kahramanmaras_afsin,2009_kahramanmaras_afsin,78.23,55.38,11.67,20.28,0,1.12
2010,kahramanmaras,afsin,kahramanmaras_afsin,2010_kahramanmaras_afsin,78.23,55.38,11.67,20.28,0,1.12
2011,kahramanmaras,afsin,kahramanmaras_afsin,2011_kahramanmaras_afsin,83.6,59.6,12,23.6,0,0.8
2012,kahramanmaras,afsin,kahramanmaras_afsin,2012_kahramanmaras_afsin,83.6,59.6,12,23.6,0,0.8
2013,kahramanmaras,afsin,kahramanmaras_afsin,2013_kahramanmaras_afsin,83.6,59.6,12,23.6,0,0.8
2014,kahramanmaras,afsin,kahramanmaras_afsin,2014_kahramanmaras_afsin,83.6,59.6,12,23.6,0,0.8
2015,kahramanmaras,afsin,kahramanmaras_afsin,2015_kahramanmaras_afsin,80.4,50.6,8.2,31.2,3.8,4.5
2016,kahramanmaras,afsin,kahramanmaras_afsin,2016_kahramanmaras_afsin,80.8,63.1,10.2,21.9,2.6,0.5
2017,kahramanmaras,afsin,kahramanmaras_afsin,2017_kahramanmaras_afsin,80.8,63.1,10.2,21.9,2.6,0.5
2018,kahramanmaras,afsin,kahramanmaras_afsin,2018_kahramanmaras_afsin,85.7,47.6,9.9,25.2,2.9,1.1
2019,kahramanmaras,afsin,kahramanmaras_afsin,2019_kahramanmaras_afsin,85.7,47.6,9.9,25.2,2.9,1.1
2020,kahramanmaras,afsin,kahramanmaras_afsin,2020_kahramanmaras_afsin,85.7,47.6,9.9,25.2,2.9,1.1
2002,aksaray,agacoren,aksaray_agacoren,2002_aksaray_agacoren,74.15,54.6,6.89,9.91,2.34,1.31
2003,aksaray,agacoren,aksaray_agacoren,2003_aksaray_agacoren,74.15,54.6,6.89,9.91,2.34,1.31
2004,aksaray,agacoren,aksaray_agacoren,2004_aksaray_agacoren,74.15,54.6,6.89,9.91,2.34,1.31
2005,aksaray,agacoren,aksaray_agacoren,2005_aksaray_agacoren,74.15,54.6,6.89,9.91,2.34,1.31
2006,aksaray,agacoren,aksaray_agacoren,2006_aksaray_agacoren,74.15,54.6,6.89,9.91,2.34,1.31
2007,aksaray,agacoren,aksaray_agacoren,2007_aksaray_agacoren,78.65,65.96,6.13,16.71,0,2.5
2008,aksaray,agacoren,aksaray_agacoren,2008_aksaray_agacoren,78.65,65.96,6.13,16.71,0,2.5
2009,aksaray,agacoren,aksaray_agacoren,2009_aksaray_agacoren,78.65,65.96,6.13,16.71,0,2.5
2010,aksaray,agacoren,aksaray_agacoren,2010_aksaray_agacoren,78.65,65.96,6.13,16.71,0,2.5
2011,aksaray,agacoren,aksaray_agacoren,2011_aksaray_agacoren,77.5,71.6,7.7,15.5,0,1.2
2012,aksaray,agacoren,aksaray_agacoren,2012_aksaray_agacoren,77.5,71.6,7.7,15.5,0,1.2
2013,aksaray,agacoren,aksaray_agacoren,2013_aksaray_agacoren,77.5,71.6,7.7,15.5,0,1.2
2014,aksaray,agacoren,aksaray_agacoren,2014_aksaray_agacoren,77.5,71.6,7.7,15.5,0,1.2
2015,aksaray,agacoren,aksaray_agacoren,2015_aksaray_agacoren,80.4,64.0,5.7,25.8,0.3,2.0
2016,aksaray,agacoren,aksaray_agacoren,2016_aksaray_agacoren,81.6,76.2,5.1,15.3,0.1,0.7
2017,aksaray,agacoren,aksaray_agacoren,2017_aksaray_agacoren,81.6,76.2,5.1,15.3,0.1,0.7
2018,aksaray,agacoren,aksaray_agacoren,2018_aksaray_agacoren,85.2,56.7,5.2,24.7,0.3,1.2
2019,aksaray,agacoren,aksaray_agacoren,2019_aksaray_agacoren,85.2,56.7,5.2,24.7,0.3,1.2
2020,aksaray,agacoren,aksaray_agacoren,2020_aksaray_agacoren,85.2,56.7,5.2,24.7,0.3,1.2
2002,elazig,agin,elazig_agin,2002_elazig_agin,75.24,28.91,13.31,27.61,1.45,5.5
2003,elazig,agin,elazig_agin,2003_elazig_agin,75.24,28.91,13.31,27.61,1.45,5.5
2004,elazig,agin,elazig_agin,2004_elazig_agin,75.24,28.91,13.31,27.61,1.45,5.5
2005,elazig,agin,elazig_agin,2005_elazig_agin,75.24,28.91,13.31,27.61,1.45,5.5
2006,elazig,agin,elazig_agin,2006_elazig_agin,75.24,28.91,13.31,27.61,1.45,5.5
2007,elazig,agin,elazig_agin,2007_elazig_agin,84.11,37.36,11.23,19.67,0,4.02
2008,elazig,agin,elazig_agin,2008_elazig_agin,84.11,37.36,11.23,19.67,0,4.02
2009,elazig,agin,elazig_agin,2009_elazig_agin,84.11,37.36,11.23,19.67,0,4.02
2010,elazig,agin,elazig_agin,2010_elazig_agin,84.11,37.36,11.23,19.67,0,4.02
2011,elazig,agin,elazig_agin,2011_elazig_agin,86.1,53.8,21.1,19.1,0,2.8
2012,elazig,agin,elazig_agin,2012_elazig_agin,86.1,53.8,21.1,19.1,0,2.8
2013,elazig,agin,elazig_agin,2013_elazig_agin,86.1,53.8,21.1,19.1,0,2.8
2014,elazig,agin,elazig_agin,2014_elazig_agin,86.1,53.8,21.1,19.1,0,2.8
2015,elazig,agin,elazig_agin,2015_elazig_agin,82.1,47.8,21.2,23.2,2.0,3.7
2016,elazig,agin,elazig_agin,2016_elazig_agin,81.3,54.2,20.2,19.8,1.5,1.6
2017,elazig,agin,elazig_agin,2017_elazig_agin,81.3,54.2,20.2,19.8,1.5,1.6
2018,elazig,agin,elazig_agin,2018_elazig_agin,86.17067834,50.57955743,21.12750263,10.95890411,2.212855638,1.896733404
2019,elazig,agin,elazig_agin,2019_elazig_agin,86.17067834,50.57955743,21.12750263,10.95890411,2.212855638,1.896733404
2020,elazig,agin,elazig_agin,2020_elazig_agin,86.17067834,50.57955743,21.12750263,10.95890411,2.212855638,1.896733404
2002,burdur,aglasun,burdur_aglasun,2002_burdur_aglasun,92.08,35.93,12.62,9.96,0.99,0.94
2003,burdur,aglasun,burdur_aglasun,2003_burdur_aglasun,92.08,35.93,12.62,9.96,0.99,0.94
2004,burdur,aglasun,burdur_aglasun,2004_burdur_aglasun,92.08,35.93,12.62,9.96,0.99,0.94
2005,burdur,aglasun,burdur_aglasun,2005_burdur_aglasun,92.08,35.93,12.62,9.96,0.99,0.94
2006,burdur,aglasun,burdur_aglasun,2006_burdur_aglasun,92.08,35.93,12.62,9.96,0.99,0.94
2007,burdur,aglasun,burdur_aglasun,2007_burdur_aglasun,92.89,47.59,11.76,18.57,0,2.86
2008,burdur,aglasun,burdur_aglasun,2008_burdur_aglasun,92.89,47.59,11.76,18.57,0,2.86
2009,burdur,aglasun,burdur_aglasun,2009_burdur_aglasun,92.89,47.59,11.76,18.57,0,2.86
2010,burdur,aglasun,burdur_aglasun,2010_burdur_aglasun,92.89,47.59,11.76,18.57,0,2.86
2011,burdur,aglasun,burdur_aglasun,2011_burdur_aglasun,93.4,56.3,14.8,20,0,4.2
2012,burdur,aglasun,burdur_aglasun,2012_burdur_aglasun,93.4,56.3,14.8,20,0,4.2
2013,burdur,aglasun,burdur_aglasun,2013_burdur_aglasun,93.4,56.3,14.8,20,0,4.2
2014,burdur,aglasun,burdur_aglasun,2014_burdur_aglasun,93.4,56.3,14.8,20,0,4.2
2015,burdur,aglasun,burdur_aglasun,2015_burdur_aglasun,90.1,58.0,17.1,19.0,0.6,2.3
2016,burdur,aglasun,burdur_aglasun,2016_burdur_aglasun,89.8,65.2,14.7,15.8,0.2,1
2017,burdur,aglasun,burdur_aglasun,2017_burdur_aglasun,89.8,65.2,14.7,15.8,0.2,1
2018,burdur,aglasun,burdur_aglasun,2018_burdur_aglasun,90.2,58,12.9,10.6,0.4,1.3
2019,burdur,aglasun,burdur_aglasun,2019_burdur_aglasun,90.2,58,12.9,10.6,0.4,1.3
2020,burdur,aglasun,burdur_aglasun,2020_burdur_aglasun,90.2,58,12.9,10.6,0.4,1.3
2002,kastamonu,agli,kastamonu_agli,2002_kastamonu_agli,64.7,41.07,4.79,9.52,2.42,2.47
2003,kastamonu,agli,kastamonu_agli,2003_kastamonu_agli,64.7,41.07,4.79,9.52,2.42,2.47
2004,kastamonu,agli,kastamonu_agli,2004_kastamonu_agli,64.7,41.07,4.79,9.52,2.42,2.47
2005,kastamonu,agli,kastamonu_agli,2005_kastamonu_agli,64.7,41.07,4.79,9.52,2.42,2.47
2006,kastamonu,agli,kastamonu_agli,2006_kastamonu_agli,64.7,41.07,4.79,9.52,2.42,2.47
2007,kastamonu,agli,kastamonu_agli,2007_kastamonu_agli,83.52,44.71,7.09,20.95,0,3.73
2008,kastamonu,agli,kastamonu_agli,2008_kastamonu_agli,83.52,44.71,7.09,20.95,0,3.73
2009,kastamonu,agli,kastamonu_agli,2009_kastamonu_agli,83.52,44.71,7.09,20.95,0,3.73
2010,kastamonu,agli,kastamonu_agli,2010_kastamonu_agli,83.52,44.71,7.09,20.95,0,3.73
2011,kastamonu,agli,kastamonu_agli,2011_kastamonu_agli,86.4,50.8,10.1,28.1,0,2
2012,kastamonu,agli,kastamonu_agli,2012_kastamonu_agli,86.4,50.8,10.1,28.1,0,2
2013,kastamonu,agli,kastamonu_agli,2013_kastamonu_agli,86.4,50.8,10.1,28.1,0,2
2014,kastamonu,agli,kastamonu_agli,2014_kastamonu_agli,86.4,50.8,10.1,28.1,0,2
2015,kastamonu,agli,kastamonu_agli,2015_kastamonu_agli,80.8,55.2,12.3,25.9,0.3,1.5
2016,kastamonu,agli,kastamonu_agli,2016_kastamonu_agli,80.4,68.4,11,15.5,0.3,0.6
2017,kastamonu,agli,kastamonu_agli,2017_kastamonu_agli,80.4,68.4,11,15.5,0.3,0.6
2018,kastamonu,agli,kastamonu_agli,2018_kastamonu_agli,86.3,55,8.9,22.7,0.4,0.9
2019,kastamonu,agli,kastamonu_agli,2019_kastamonu_agli,86.3,55,8.9,22.7,0.4,0.9
2020,kastamonu,agli,kastamonu_agli,2020_kastamonu_agli,86.3,55,8.9,22.7,0.4,0.9
2002,konya,ahirli,konya_ahirli,2002_konya_ahirli,83.23,47.2,7.13,18.05,1.22,3.78
2003,konya,ahirli,konya_ahirli,2003_konya_ahirli,83.23,47.2,7.13,18.05,1.22,3.78
2004,konya,ahirli,konya_ahirli,2004_konya_ahirli,83.23,47.2,7.13,18.05,1.22,3.78
2005,konya,ahirli,konya_ahirli,2005_konya_ahirli,83.23,47.2,7.13,18.05,1.22,3.78
2006,konya,ahirli,konya_ahirli,2006_konya_ahirli,83.23,47.2,7.13,18.05,1.22,3.78
2007,konya,ahirli,konya_ahirli,2007_konya_ahirli,84.18,51.37,6.93,23.62,0,5.03
2008,konya,ahirli,konya_ahirli,2008_konya_ahirli,84.18,51.37,6.93,23.62,0,5.03
2009,konya,ahirli,konya_ahirli,2009_konya_ahirli,84.18,51.37,6.93,23.62,0,5.03
2010,konya,ahirli,konya_ahirli,2010_konya_ahirli,84.18,51.37,6.93,23.62,0,5.03
2011,konya,ahirli,konya_ahirli,2011_konya_ahirli,83.7,65.9,9.4,18.1,0,1.5
2012,konya,ahirli,konya_ahirli,2012_konya_ahirli,83.7,65.9,9.4,18.1,0,1.5
2013,konya,ahirli,konya_ahirli,2013_konya_ahirli,83.7,65.9,9.4,18.1,0,1.5
2014,konya,ahirli,konya_ahirli,2014_konya_ahirli,83.7,65.9,9.4,18.1,0,1.5
2015,konya,ahirli,konya_ahirli,2015_konya_ahirli,83.3,64.9,10.5,19.0,0.6,2.5
2016,konya,ahirli,konya_ahirli,2016_konya_ahirli,85.9,75,9.1,12.4,0.2,1.1
2017,konya,ahirli,konya_ahirli,2017_konya_ahirli,85.9,75,9.1,12.4,0.2,1.1
2018,konya,ahirli,konya_ahirli,2018_konya_ahirli,87.4,58,7.8,16.3,0.3,2
2019,konya,ahirli,konya_ahirli,2019_konya_ahirli,87.4,58,7.8,16.3,0.3,2
2020,konya,ahirli,konya_ahirli,2020_konya_ahirli,87.4,58,7.8,16.3,0.3,2
2002,bitlis,ahlat,bitlis_ahlat,2002_bitlis_ahlat,84.68,25.2,3.74,19.69,34.99,1.78
2003,bitlis,ahlat,bitlis_ahlat,2003_bitlis_ahlat,84.68,25.2,3.74,19.69,34.99,1.78
2004,bitlis,ahlat,bitlis_ahlat,2004_bitlis_ahlat,84.68,25.2,3.74,19.69,34.99,1.78
2005,bitlis,ahlat,bitlis_ahlat,2005_bitlis_ahlat,84.68,25.2,3.74,19.69,34.99,1.78
2006,bitlis,ahlat,bitlis_ahlat,2006_bitlis_ahlat,84.68,25.2,3.74,19.69,34.99,1.78
2007,bitlis,ahlat,bitlis_ahlat,2007_bitlis_ahlat,89.27,63.23,6.78,7.06,0,0.83
