pdy,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
corum_ugurludag_2016,4128121.8179135947,3965779.467680609,4128121.8179135947,3965779.467680609,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4128121.8179135947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965779.467680609
corum_ugurludag_2017,1803718.4349273888,1541095.890410959,1803718.4349273888,1541095.890410959,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803718.4349273888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541095.890410959,0,0
corum_ugurludag_2020,6707750.094078962,4239678.580513864,6707750.094078962,4239678.580513864,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6707750.094078962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4239678.580513864
denizli_acipayam_2010,8255411.050415194,9698030.463576159,8255411.050415194,9698030.463576159,NA,1,0,0,0,0,0,0,8255411.050415194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9698030.463576159,0,0,0,0,0,0,0,0,0,0,0
denizli_acipayam_2017,20635772.207319707,17631190.72708114,20635772.207319707,17631190.72708114,440,1,0,0,0,0,0,0,0,0,0,0,0,20635772.207319707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17631190.72708114,0,0,0,0,0,0
denizli_acipayam_2020,19714790.298411284,18723754.21543423,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19714790.298411284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18723754.21543423,0
denizli_babadag_2010,16634392.054198634,19514990.006662227,16634392.054198634,19514990.006662227,408,1,0,16634392.054198634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19514990.006662227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denizli_babadag_2014,155261.66908421137,164711.19133574006,155261.66908421137,164711.19133574006,NA,1,0,0,0,155261.66908421137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164711.19133574006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
denizli_babadag_2019,8877892.592053559,6232970.027247957,8877892.592053559,6232970.027247957,189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8877892.592053559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6232970.027247957
denizli_babadag_2020,6756852.501770669,4939934.701709156,NA,NA,NA,1,0,0,0,0,6756852.501770669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4939934.701709156,0,0,0,0,0,0,0,0,0,0,0,0,0
denizli_baklan_2017,4847825.439922218,3971552.424817123,4847825.439922218,3971552.424817123,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847825.439922218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971552.424817123
denizli_bekilli_2018,7107150.032836833,6218840.199422724,7107150.032836833,6218840.199422724,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7107150.032836833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6218840.199422724
denizli_bozkurt_2019,10042312.78366112,7489950.6346967565,10042312.78366112,7489950.6346967565,150,1,0,0,0,0,0,0,0,0,0,0,0,10042312.78366112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7489950.6346967565,0,0,0,0,0,0
denizli_bozkurt_2020,1596047.3188054815,1046892.3418423973,1596047.3188054815,1046892.3418423973,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1596047.3188054815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046892.3418423973,0,0,0,0
