İlçe,province,"Kayıtlı seçmen
sayısı","Oy kullanan seçmen
sayısı ve oranı (%)","Gecerli oy
sayısı",AK PARTİ,DYP,MHP,CHP,SAADET PARTİSİ,"Sandık
sayısı",GENÇ PARTİ,EMEP,DSP,BTP,TKP,,,,,,,,,,Belediye,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Başkanlık
sayısı",,,,,,,,,,,,,,,ANAP,,,,,,,,,,,,,,,BBP,,,,,,İP,,,,,,ÖDP,,,,,,LDP,,,,,,,,,,,,,,,,ATP,,,,,,MİLLET PARTİSİ,,,,,,,,,,,,,,,,,,,,YTP,,,,,SHP,,,,,,,,,,,,,DP,,,,,,,,,,,BAĞIMSIZLAR
Merkez,Amasya,53650,35047,33901,16258,10322,3684,2495,543,226,216,132,129,77,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Göynücek,Amasya,2374,1779,1700,378,377,410,366,22,9,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gümüşhacıköy,Amasya,11010,9085,8723,4609,,119,3872,38,41,,,72,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamamözü,Amasya,1142,940,897,371,384,121,,11,6,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merzifon,Amasya,33590,24583,23734,9430,1879,4325,7246,294,117,185,157,182,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suluova,Amasya,26003,19694,18899,8805,884,520,3676,695,94,59,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3748
Taşova,Amasya,8987,5947,5684,1207,2252,2152,,33,32,21,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
