İlçe,province,"Kayıtlı seçmen
sayısı","Oy kullanan seçmen
sayısı ve oranı (%)","Gecerli oy
sayısı",AK PARTİ,SHP,SAADET PARTİSİ,ANAP,DYP,GENÇ PARTİ,CHP,"Sandık
sayısı",MHP,DSP,BTP,TKP,,,,,,,,,Belediye,,,,,,,,,,,,,,,,,,,,,,,,,"Başkanlık
sayısı",,,,,,EMEP,,,,,,,,,,,,,,,,,,,,,,,,,BBP,,,,,,İP,,,,,,ÖDP,,,,,,LDP,,,,,,,,,,,,,,,,ATP,,,,,,MİLLET PARTİSİ,,,,,,,,,,,,,,,,,,YTP,,,,,,,,,,,,,,,,,,,DP,,,,,,,,,,,BAĞIMSIZLAR
Merkez,Bitlis,19619,13665,12883,3728,3503,1485,1456,1341,821,350,75,75,59,43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adilcevaz,Bitlis,7350,5499,5256,2279,,2844,,,47,43,31,,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahlat,Bitlis,8519,6701,6451,2491,182,41,,2245,42,522,49,662,257,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Güroymak,Bitlis,8693,6206,5869,2436,1007,24,,559,1779,30,34,,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hizan,Bitlis,5315,3880,3734,1278,451,1047,,,12,919,24,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutki,Bitlis,1818,1361,1278,508,,6,,294,2,,7,,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449
Tatvan,Bitlis,27876,17980,17052,6552,5183,4768,,,151,127,98,,71,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
