İlçe,province,"Kayıtlı seçmen
sayısı","Oy kullanan seçmen
sayısı ve oranı (%)","Gecerli oy
sayısı",DSP,AK PARTİ,MHP,CHP,DYP,SAADET PARTİSİ,GENÇ PARTİ,"Sandık
sayısı",BTP,TKP,,,,,,,,,Belediye,,,,,,,,,,,,,,,,,,,,,,,,,"Başkanlık
sayısı",,,,,,EMEP,,,,,,,,,,,ANAP,,,,,,,,,,,,,,,BBP,,,,,,İP,,,,,,ÖDP,,,,,,LDP,,,,,,,,,,,,,,,,ATP,,,,,,MİLLET PARTİSİ,,,,,,,,,,,,,,,,,,,,YTP,,,,,SHP,,,,,,,,,,,,,DP,,,,,,,,,,,BAĞIMSIZLAR
Merkez,Bartın,28472,21569,20777,12605,4481,1538,1070,552,352,125,96,31,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amasra,Bartın,4786,3737,3571,,1145,139,1087,188,19,26,16,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845
Kurucaşile,Bartın,1422,1062,1021,,301,8,685,20,3,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulus,Bartın,2781,2311,2204,,847,9,1294,33,5,12,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
