İlçe,province,"Kayıtlı seçmen
sayısı","Oy kullanan seçmen
sayısı ve oranı (%)","Gecerli oy
sayısı",BAĞIMSIZLAR,CHP,DYP,AK PARTİ,SHP,MHP,BTP,DSP,GENÇ PARTİ,"Sandık
sayısı",SAADET PARTİSİ,TKP
Merkez,Ardahan,10050,6495,6253,1661,1558,1220,1103,365,111,73,67,46,40,36,13
Çıldır,Ardahan,1290,905,884,,278,275,321,,,,6,1,6,3,
Damal,Ardahan,1204,837,802,,310,286,14,,,3,53,1,4,,
Göle,Ardahan,4693,2925,2771,,291,465,729,356,234,3,57,126,18,25,
Hanak,Ardahan,2338,1682,1616,,472,583,393,,151,,,7,10,10,
Posof,Ardahan,1721,1132,1101,,598,,455,,40,5,,2,6,1,
