...1,...2,...3,...4,İlçe,...6,...7,...8,...9,...10,...11,Belediye,...13,...14,...15,...16,"Sandık
sayısı",...18,...19,"Kayıtlı seçmen
sayısı",...21,...22,...23,...24,...25,...26,...27,"Oy kullanan seçmen
sayısı ve oranı (%)",...29,...30,...31,...32,...33,...34,...35,"Gecerli oy
sayısı",...37,...38,...39,...40,...41,"Başkanlık
sayısı",...43,...44,...45,...46,...47,...48,EMEP,...50,...51,...52,...53,...54,DSP,...56,...57,...58,...59,...60,ANAP,...62,...63,...64,...65,BTP,...67,...68,...69,...70,...71,AK PARTİ,...73,...74,...75,...76,...77,BBP,...79,...80,...81,...82,...83,İP,...85,...86,...87,...88,...89,ÖDP,...91,...92,...93,...94,...95,LDP,...97,...98,...99,...100,...101,TKP,...103,...104,...105,...106,...107,DYP,...109,...110,...111,...112,...113,ATP,...115,...116,...117,...118,...119,MİLLET PARTİSİ,...121,...122,...123,...124,...125,...126,...127,CHP,...129,...130,...131,...132,...133,GENÇ PARTİ,...135,...136,...137,...138,...139,...140,YTP,...142,...143,...144,...145,...146,SHP,...148,...149,...150,...151,...152,SAADET PARTİSİ,...154,...155,...156,...157,...158,...159,...160,DP,...162,...163,...164,...165,...166,MHP,...168,...169,...170,...171,...172,BAĞIMSIZLAR,...174,...175,...176,...177,...178,...179,...180,...181
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Küçükdikili,NA,NA,NA,NA,23,NA,NA,6.441,NA,NA,NA,NA,NA,NA,NA,4.897,NA,NA,NA,NA,NA,NA,NA,4.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,NA,NA,NA,NA,339,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.395,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Yüreğir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,NA,NA,196.470,NA,NA,NA,NA,NA,NA,NA,138.781,NA,NA,NA,NA,NA,NA,NA,130.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804,NA,NA,NA,NA,NA,47.952,NA,NA,NA,NA,NA,406,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,4.736,NA,NA,NA,NA,NA,293,NA,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,17.069,NA,NA,NA,NA,NA,14.328,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,13.585,NA,NA,NA,NA,NA,2.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.239,NA,NA,NA,NA,NA,8.355,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abdioğlu,NA,NA,NA,NA,10,NA,NA,2.722,NA,NA,NA,NA,NA,NA,NA,2.159,NA,NA,NA,NA,NA,NA,NA,2.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baklalı,NA,NA,NA,NA,10,NA,NA,2.999,NA,NA,NA,NA,NA,NA,NA,2.447,NA,NA,NA,NA,NA,NA,NA,2.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.033,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buruk,NA,NA,NA,NA,10,NA,NA,2.680,NA,NA,NA,NA,NA,NA,NA,2.244,NA,NA,NA,NA,NA,NA,NA,2.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,512,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Çelemli,NA,NA,NA,NA,7,NA,NA,1.975,NA,NA,NA,NA,NA,NA,NA,1.684,NA,NA,NA,NA,NA,NA,NA,1.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doğankent,NA,NA,NA,NA,26,NA,NA,7.224,NA,NA,NA,NA,NA,NA,NA,5.267,NA,NA,NA,NA,NA,NA,NA,5.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geçitli,NA,NA,NA,NA,9,NA,NA,2.281,NA,NA,NA,NA,NA,NA,NA,1.883,NA,NA,NA,NA,NA,NA,NA,1.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Havutlu,NA,NA,NA,NA,14,NA,NA,3.933,NA,NA,NA,NA,NA,NA,NA,3.202,NA,NA,NA,NA,NA,NA,NA,2.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,1.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,İncirlik,NA,NA,NA,NA,32,NA,NA,8.739,NA,NA,NA,NA,NA,NA,NA,6.335,NA,NA,NA,NA,NA,NA,NA,6.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,931,NA,NA,NA,NA,NA,962,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.014,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
