province,district,registered_voters,valid_votes,akp,chp,mhp,year,province_district
antalya,gazipasa,12707,10092,2882,3217,1637,2004,antalya_gazipasa
antalya,gundogmus,1941,1381,298,455,NA,2004,antalya_gundogmus
antalya,ibradi,1775,1393,481,403,NA,2004,antalya_ibradi
antalya,kale,9412,7992,1991,1589,1944,2004,antalya_kale
antalya,kas,4459,3371,303,678,687,2004,antalya_kas
antalya,kemer,9971,6498,870,359,2467,2004,antalya_kemer
antalya,korkuteli,12802,9737,2729,1799,3207,2004,antalya_korkuteli
antalya,kumluca,17939,12476,7129,1610,318,2004,antalya_kumluca
antalya,manavgat,40500,25096,4271,9630,10407,2004,antalya_manavgat
antalya,serik,22422,16225,4194,1975,5199,2004,antalya_serik
ardahan,cildir,1290,884,321,278,NA,2004,ardahan_cildir
ardahan,damal,1204,802,14,310,NA,2004,ardahan_damal
ardahan,gole,4693,2771,729,291,234,2004,ardahan_gole
ardahan,hanak,2338,1616,393,472,151,2004,ardahan_hanak
ardahan,merkez,10050,6253,1103,1558,111,2004,ardahan_merkez
ardahan,posof,1721,1101,455,598,40,2004,ardahan_posof
artvin,ardanuc,4527,3093,925,1363,101,2004,artvin_ardanuc
artvin,arhavi,10083,7013,1892,2441,86,2004,artvin_arhavi
artvin,borcka,8263,6145,1126,1908,2662,2004,artvin_borcka
artvin,hopa,10315,7304,1544,1625,959,2004,artvin_hopa
artvin,merkez,14708,10433,3715,4849,224,2004,artvin_merkez
artvin,murgul,3517,2460,546,787,730,2004,artvin_murgul
artvin,savsat,5382,3460,807,1109,243,2004,artvin_savsat
artvin,yusufeli,4486,3430,1249,460,1339,2004,artvin_yusufeli
aydin,bozdogan,6021,5214,1467,1975,87,2004,aydin_bozdogan
aydin,buharkent,5049,4230,1140,983,714,2004,aydin_buharkent
aydin,cine,13412,11208,2033,5572,76,2004,aydin_cine
aydin,didim,17221,12070,2470,2996,266,2004,aydin_didim
aydin,germencik,8958,6747,2353,1288,107,2004,aydin_germencik
aydin,incirliova,12687,10143,2418,3471,3159,2004,aydin_incirliova
aydin,karacasu,4266,3541,1834,627,222,2004,aydin_karacasu
aydin,karpuzlu,1722,1317,657,192,24,2004,aydin_karpuzlu
aydin,kocarli,4720,4031,1002,1055,493,2004,aydin_kocarli
aydin,kosk,6192,5216,1836,463,43,2004,aydin_kosk
aydin,kusadasi,36370,25326,9397,6008,715,2004,aydin_kusadasi
aydin,kuyucak,6054,5080,604,2603,NA,2004,aydin_kuyucak
aydin,merkez,99982,72741,33023,19734,5064,2004,aydin_merkez
aydin,nazilli,68561,50134,13203,7481,2112,2004,aydin_nazilli
aydin,soke,38697,29177,4388,10394,2766,2004,aydin_soke
aydin,sultanhisar,4285,3455,446,881,953,2004,aydin_sultanhisar
aydin,yenipazar,5423,4519,1993,1857,472,2004,aydin_yenipazar
balikesir,ayvalik,23446,16944,1336,7385,135,2004,balikesir_ayvalik
balikesir,balya,1520,1188,368,268,291,2004,balikesir_balya
balikesir,bandirma,72711,52808,18091,15824,2995,2004,balikesir_bandirma
balikesir,bigadic,11153,8733,3045,1641,641,2004,balikesir_bigadic
balikesir,burhaniye,21800,16222,4580,5532,1296,2004,balikesir_burhaniye
balikesir,dursunbey,10916,8687,4033,NA,1954,2004,balikesir_dursunbey
balikesir,edremit,28177,20335,6693,4842,3545,2004,balikesir_edremit
balikesir,erdek,13212,10305,5069,858,80,2004,balikesir_erdek
balikesir,gomec,4129,3342,2035,1146,32,2004,balikesir_gomec
balikesir,gonen,26453,21174,9010,3132,451,2004,balikesir_gonen
balikesir,havran,7272,6168,2261,159,200,2004,balikesir_havran
balikesir,ivrindi,4615,3737,1483,816,835,2004,balikesir_ivrindi
balikesir,kepsut,4537,3678,1388,979,14,2004,balikesir_kepsut
balikesir,manyas,4274,3384,1115,568,206,2004,balikesir_manyas
balikesir,marmara,1683,1439,865,559,4,2004,balikesir_marmara
balikesir,merkez,155193,112819,50094,36734,10495,2004,balikesir_merkez
balikesir,savastepe,6536,5434,1813,1323,1376,2004,balikesir_savastepe
balikesir,sindirgi,8629,7035,2579,1465,1194,2004,balikesir_sindirgi
balikesir,susurluk,16089,13067,4431,559,1084,2004,balikesir_susurluk
bartin,amasra,4786,3571,1145,1087,139,2004,bartin_amasra
bartin,kurucasile,1422,1021,301,685,8,2004,bartin_kurucasile
bartin,merkez,28472,20777,4481,1070,1538,2004,bartin_merkez
bartin,ulus,2781,2204,847,1294,9,2004,bartin_ulus
batman,besiri,4957,3592,514,NA,15,2004,batman_besiri
batman,gercus,3651,2742,686,891,NA,2004,batman_gercus
batman,hasankeyf,2586,1802,729,185,NA,2004,batman_hasankeyf
batman,kozluk,11990,7937,4239,555,14,2004,batman_kozluk
batman,merkez,115949,64404,NA,988,920,2004,batman_merkez
batman,sason,5713,3982,1617,NA,39,2004,batman_sason
bayburt,aydintepe,2190,1765,980,NA,14,2004,bayburt_aydintepe
bayburt,demirozu,1315,952,339,NA,64,2004,bayburt_demirozu
bayburt,merkez,20129,11924,3606,82,3597,2004,bayburt_merkez
bilecik,bozuyuk,29252,24618,4903,7318,9327,2004,bilecik_bozuyuk
bilecik,golpazari,5413,4455,1430,1017,42,2004,bilecik_golpazari
bilecik,inhisar,1086,880,604,11,NA,2004,bilecik_inhisar
bilecik,merkez,19144,15264,5945,2421,1377,2004,bilecik_merkez
bilecik,osmaneli,8267,6996,2659,1182,1987,2004,bilecik_osmaneli
bilecik,pazaryeri,4813,4003,1262,1322,67,2004,bilecik_pazaryeri
bilecik,sogut,7579,6386,1987,1060,2228,2004,bilecik_sogut
bilecik,yenipazar,1023,774,255,282,NA,2004,bilecik_yenipazar
bingol,adakli,2910,1762,1118,NA,NA,2004,bingol_adakli
bingol,genc,8162,6207,1977,1434,NA,2004,bingol_genc
bingol,karliova,3276,2325,432,NA,399,2004,bingol_karliova
bingol,kigi,2132,1332,621,643,NA,2004,bingol_kigi
bingol,merkez,35969,22459,8940,244,295,2004,bingol_merkez
bingol,solhan,7299,5407,1251,33,NA,2004,bingol_solhan
bingol,yayladere,1074,480,207,183,NA,2004,bingol_yayladere
