year,province,district,population
2020,Van,Çaldıran,63133
2020,Van,Çatak,20337
2020,Van,Edremit,128557
2020,Van,Erciş,176680
2020,Van,Gevaş,28242
2020,Van,Gürpınar,34956
2020,Van,İpekyolu,334470
2020,Van,Muradiye,50247
2020,Van,Özalp,65495
2020,Van,Saray,20843
2020,Van,Tuşba,162153
2020,Yalova,Altınova,30780
2020,Yalova,Armutlu,9901
2020,Yalova,Çiftlikköy,44808
2020,Yalova,Çınarcık,34699
2020,Yalova,Merkez,149330
2020,Yalova,Termal,6532
2020,Yozgat,Akdağmadeni,42407
2020,Yozgat,Aydıncık,9967
2020,Yozgat,Boğazlıyan,34019
2020,Yozgat,Çandır,4381
2020,Yozgat,Çayıralan,12457
2020,Yozgat,Çekerek,19415
2020,Yozgat,Kadışehri,10768
2020,Yozgat,Merkez,104079
2020,Yozgat,Saraykent,12651
2020,Yozgat,Sarıkaya,32714
2020,Yozgat,Şefaatli,14749
2020,Yozgat,Sorgun,80525
2020,Yozgat,Yenifakılı,5396
2020,Yozgat,Yerköy,35567
2020,Zonguldak,Alaplı,43540
2020,Zonguldak,Çaycuma,90897
2020,Zonguldak,Devrek,57161
2020,Zonguldak,Ereğli,176642
2020,Zonguldak,Gökçebey,20996
2020,Zonguldak,Kilimli,34150
2020,Zonguldak,Kozlu,46661
2020,Zonguldak,Merkez,121157
