year,province,district,population,pd,pdy,turnout_rate,akp,chp,mhp,hdp,sp,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon,try_pc,usd_pc,hou_pc
2002,adana,aladag,21302,adana_aladag,adana_aladag_2002,75.85,26.68,12.76,10.36,0.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,adana,aladag,20543,adana_aladag,adana_aladag_2003,75.85,26.68,12.76,10.36,0.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,adana,aladag,19783,adana_aladag,adana_aladag_2004,75.85,26.68,12.76,10.36,0.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,adana,aladag,19024,adana_aladag,adana_aladag_2005,75.85,26.68,12.76,10.36,0.63,0.94,10650223.549488055,9349859.176029963,10650223.549488055,9349859.176029963,308,1,0,0,0,0,0,0,0,0,0,0,0,10650223.549488055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9349859.176029963,0,0,0,0,0,0,559.8309266972275,491.47703826902665,0.016190075693860388
2006,adana,aladag,18265,adana_aladag,adana_aladag_2006,75.85,26.68,12.76,10.36,0.63,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,adana,aladag,17506,adana_aladag,adana_aladag_2007,86.45,39.44,11.73,18.77,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adana,aladag,18249,adana_aladag,adana_aladag_2008,86.45,39.44,11.73,18.77,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,adana,aladag,17494,adana_aladag,adana_aladag_2009,86.45,39.44,11.73,18.77,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,adana,aladag,17169,adana_aladag,adana_aladag_2010,86.45,39.44,11.73,18.77,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,adana,aladag,17074,adana_aladag,adana_aladag_2011,88.9,53.3,15.8,24.2,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,adana,aladag,16951,adana_aladag,adana_aladag_2012,88.9,53.3,15.8,24.2,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,adana,aladag,17221,adana_aladag,adana_aladag_2013,88.9,53.3,15.8,24.2,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,adana,aladag,17113,adana_aladag,adana_aladag_2014,88.9,53.3,15.8,24.2,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,adana,aladag,16823,adana_aladag,adana_aladag_2015,88.4,50.1,11.5,33.5,0.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,adana,aladag,16333,adana_aladag,adana_aladag_2016,89.2,57,11.9,27.7,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,adana,aladag,15896,adana_aladag,adana_aladag_2017,89.2,57,11.9,27.7,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,adana,aladag,16653,adana_aladag,adana_aladag_2018,90.1,48.5,14.8,17.7,0.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,adana,aladag,16121,adana_aladag,adana_aladag_2019,90.1,48.5,14.8,17.7,0.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,adana,aladag,15998,adana_aladag,adana_aladag_2020,90.1,48.5,14.8,17.7,0.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,adana,ceyhan,171012,adana_ceyhan,adana_ceyhan_2002,73.1,17.53,18.09,14.67,11.23,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,adana,ceyhan,168501,adana_ceyhan,adana_ceyhan_2003,73.1,17.53,18.09,14.67,11.23,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,adana,ceyhan,165991,adana_ceyhan,adana_ceyhan_2004,73.1,17.53,18.09,14.67,11.23,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,adana,ceyhan,163480,adana_ceyhan,adana_ceyhan_2005,73.1,17.53,18.09,14.67,11.23,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,adana,ceyhan,160970,adana_ceyhan,adana_ceyhan_2006,73.1,17.53,18.09,14.67,11.23,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,adana,ceyhan,158459,adana_ceyhan,adana_ceyhan_2007,80.7,33,17.18,30.31,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adana,ceyhan,158833,adana_ceyhan,adana_ceyhan_2008,80.7,33,17.18,30.31,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,adana,ceyhan,158368,adana_ceyhan,adana_ceyhan_2009,80.7,33,17.18,30.31,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,adana,ceyhan,158729,adana_ceyhan,adana_ceyhan_2010,80.7,33,17.18,30.31,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,adana,ceyhan,158377,adana_ceyhan,adana_ceyhan_2011,86.8,35.1,27.9,23.1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,adana,ceyhan,158767,adana_ceyhan,adana_ceyhan_2012,86.8,35.1,27.9,23.1,0,0.7,19224313.573299702,22040600.66740823,19224313.573299702,22040600.66740823,0,1,0,0,0,0,0,0,19224313.573299702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22040600.66740823,0,0,0,0,0,0,0,0,0,0,0,121.0850716666543,138.82356325564024,0
2013,adana,ceyhan,159243,adana_ceyhan,adana_ceyhan_2013,86.8,35.1,27.9,23.1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,adana,ceyhan,159454,adana_ceyhan,adana_ceyhan_2014,86.8,35.1,27.9,23.1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,adana,ceyhan,159504,adana_ceyhan,adana_ceyhan_2015,85.3,25.8,25.8,27.2,18.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,adana,ceyhan,160171,adana_ceyhan,adana_ceyhan_2016,85.8,33.1,27.7,21.8,15.4,0.5,19723808.392972153,18948150.708606984,19723808.392972153,18948150.708606984,499,1,0,0,0,0,0,0,0,0,0,0,0,19723808.392972153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18948150.708606984,0,0,0,0,0,0,123.14219423598624,118.29950932819914,0.003115420394453428
2017,adana,ceyhan,160616,adana_ceyhan,adana_ceyhan_2017,85.8,33.1,27.7,21.8,15.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,adana,ceyhan,160474,adana_ceyhan,adana_ceyhan_2018,85.9,30.5,23,14.2,16.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,adana,ceyhan,160977,adana_ceyhan,adana_ceyhan_2019,85.9,30.5,23,14.2,16.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,adana,ceyhan,161159,adana_ceyhan,adana_ceyhan_2020,85.9,30.5,23,14.2,16.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adana,cukurova,271344,adana_cukurova,adana_cukurova_2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,adana,cukurova,331421,adana_cukurova,adana_cukurova_2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,adana,cukurova,347941,adana_cukurova,adana_cukurova_2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,adana,cukurova,331307,adana_cukurova,adana_cukurova_2011,86.6,29.3,42.8,22.9,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,adana,cukurova,340473,adana_cukurova,adana_cukurova_2012,86.6,29.3,42.8,22.9,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,adana,cukurova,346505,adana_cukurova,adana_cukurova_2013,86.6,29.3,42.8,22.9,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,adana,cukurova,353680,adana_cukurova,adana_cukurova_2014,86.6,29.3,42.8,22.9,0,0.7,25416122.54186748,26962996.389891695,25416122.54186748,26962996.389891695,0,1,0,0,0,0,0,0,25416122.54186748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26962996.389891695,0,0,0,0,0,0,0,0,0,0,0,71.86191625725932,76.23556997820543,0
2015,adana,cukurova,359315,adana_cukurova,adana_cukurova_2015,86.7,23.1,40.8,25.8,7.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,adana,cukurova,362351,adana_cukurova,adana_cukurova_2016,87.5,28.1,43.2,21.5,5.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,adana,cukurova,364118,adana_cukurova,adana_cukurova_2017,87.5,28.1,43.2,21.5,5.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,adana,cukurova,365735,adana_cukurova,adana_cukurova_2018,88.9,24,38,10,8.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,adana,cukurova,376390,adana_cukurova,adana_cukurova_2019,88.9,24,38,10,8.2,1.2,6147576.771940038,4316076.29427793,6147576.771940038,4316076.29427793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6147576.771940038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4316076.29427793,0,0,0,0,16.33299708265373,11.467032318281383,0
2020,adana,cukurova,386634,adana_cukurova,adana_cukurova_2020,88.9,24,38,10,8.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,adana,feke,20365,adana_feke,adana_feke_2002,83.62,37.6,12.84,13.48,0.78,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,adana,feke,20190,adana_feke,adana_feke_2003,83.62,37.6,12.84,13.48,0.78,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,adana,feke,20014,adana_feke,adana_feke_2004,83.62,37.6,12.84,13.48,0.78,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,adana,feke,19839,adana_feke,adana_feke_2005,83.62,37.6,12.84,13.48,0.78,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,adana,feke,19664,adana_feke,adana_feke_2006,83.62,37.6,12.84,13.48,0.78,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,adana,feke,19489,adana_feke,adana_feke_2007,86.39,50.52,12.26,21.88,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adana,feke,19952,adana_feke,adana_feke_2008,86.39,50.52,12.26,21.88,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,adana,feke,19332,adana_feke,adana_feke_2009,86.39,50.52,12.26,21.88,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,adana,feke,18996,adana_feke,adana_feke_2010,86.39,50.52,12.26,21.88,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,adana,feke,18724,adana_feke,adana_feke_2011,84.2,54.1,17,22.2,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,adana,feke,18055,adana_feke,adana_feke_2012,84.2,54.1,17,22.2,0,2.1,1344281.3515909761,1524670.3910614525,1344281.3515909761,1524670.3910614525,0,1,0,0,0,0,0,0,1344281.3515909761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524670.3910614525,0,0,0,0,0,0,0,0,0,0,0,74.45479654339385,84.44588153206604,0
2013,adana,feke,18534,adana_feke,adana_feke_2013,84.2,54.1,17,22.2,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,adana,feke,17820,adana_feke,adana_feke_2014,84.2,54.1,17,22.2,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,adana,feke,17214,adana_feke,adana_feke_2015,80.4,47,15.3,31.5,0.7,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,adana,feke,17033,adana_feke,adana_feke_2016,82.6,54.7,15.1,25.6,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,adana,feke,16572,adana_feke,adana_feke_2017,82.6,54.7,15.1,25.6,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,adana,feke,17555,adana_feke,adana_feke_2018,87.4,54.7,12.5,15.3,0.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,adana,feke,16919,adana_feke,adana_feke_2019,87.4,54.7,12.5,15.3,0.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,adana,feke,16536,adana_feke,adana_feke_2020,87.4,54.7,12.5,15.3,0.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,adana,imamoglu,38962,adana_imamoglu,adana_imamoglu_2002,78.49,34.23,11.48,15.35,1.25,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,adana,imamoglu,37495,adana_imamoglu,adana_imamoglu_2003,78.49,34.23,11.48,15.35,1.25,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,adana,imamoglu,36029,adana_imamoglu,adana_imamoglu_2004,78.49,34.23,11.48,15.35,1.25,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,adana,imamoglu,34562,adana_imamoglu,adana_imamoglu_2005,78.49,34.23,11.48,15.35,1.25,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,adana,imamoglu,33096,adana_imamoglu,adana_imamoglu_2006,78.49,34.23,11.48,15.35,1.25,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,adana,imamoglu,31629,adana_imamoglu,adana_imamoglu_2007,81.44,38.95,11.37,32.47,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adana,imamoglu,31257,adana_imamoglu,adana_imamoglu_2008,81.44,38.95,11.37,32.47,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,adana,imamoglu,30968,adana_imamoglu,adana_imamoglu_2009,81.44,38.95,11.37,32.47,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,adana,imamoglu,30552,adana_imamoglu,adana_imamoglu_2010,81.44,38.95,11.37,32.47,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,adana,imamoglu,30105,adana_imamoglu,adana_imamoglu_2011,86.6,45.4,19.3,30,0,1.4,9713567.319571357,11368152.866242038,9713567.319571357,11368152.866242038,0,1,0,0,0,0,0,0,9713567.319571357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11368152.866242038,0,0,0,0,0,0,0,0,0,0,0,322.6562803378627,377.61677017910773,0
2012,adana,imamoglu,29700,adana_imamoglu,adana_imamoglu_2012,86.6,45.4,19.3,30,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,adana,imamoglu,29748,adana_imamoglu,adana_imamoglu_2013,86.6,45.4,19.3,30,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,adana,imamoglu,29111,adana_imamoglu,adana_imamoglu_2014,86.6,45.4,19.3,30,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,adana,imamoglu,28686,adana_imamoglu,adana_imamoglu_2015,83.9,45.9,22.2,25.5,2.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,adana,imamoglu,28657,adana_imamoglu,adana_imamoglu_2016,86.2,53.1,18.2,24.4,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,adana,imamoglu,28405,adana_imamoglu,adana_imamoglu_2017,86.2,53.1,18.2,24.4,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,adana,imamoglu,28239,adana_imamoglu,adana_imamoglu_2018,83.7,48.6,16.5,14.8,2.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,adana,imamoglu,27938,adana_imamoglu,adana_imamoglu_2019,83.7,48.6,16.5,14.8,2.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,adana,imamoglu,27784,adana_imamoglu,adana_imamoglu_2020,83.7,48.6,16.5,14.8,2.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,adana,karaisali,32729,adana_karaisali,adana_karaisali_2002,81.69,43.2,8.47,12.9,0.79,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,adana,karaisali,31931,adana_karaisali,adana_karaisali_2003,81.69,43.2,8.47,12.9,0.79,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
