pdym,imp_try_sum,imp_usd_sum,real_try_sum,dollars_sum,houses_sum,projects,try_idare_konut,try_afet_konutu,try_alt_gelir,try_ikmal_ihalesi,try_protokol_meb,try_restorasyon,try_altyapi_sosyal,try_danismanlik_hizmetleri,try_stadyum,try_millet_bahcesi,try_gelir_paylasimli,try_konut_sosyal_donati,try_bakim_onarim,try_kamu_hizmet,try_tarimkoy,try_kentsel_donusum,try_diger,try_talep_organizasyon,usd_idare_konut,usd_afet_konutu,usd_alt_gelir,usd_ikmal_ihalesi,usd_protokol_meb,usd_restorasyon,usd_altyapi_sosyal,usd_danismanlik_hizmetleri,usd_stadyum,usd_millet_bahcesi,usd_gelir_paylasimli,usd_konut_sosyal_donati,usd_bakim_onarim,usd_kamu_hizmet,usd_tarimkoy,usd_kentsel_donusum,usd_diger,usd_talep_organizasyon
istanbul_fatih_2010_2,4520338.684672304,5303131.24583611,4520338.684672304,5303131.24583611,NA,1,0,0,0,0,0,0,4520338.684672304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5303131.24583611,0,0,0,0,0,0,0,0,0,0,0
istanbul_fatih_2013_1,4821895.402314694,5896067.415730337,4821895.402314694,5896067.415730337,NA,1,0,0,0,0,0,4821895.402314694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5896067.415730337,0,0,0,0,0,0,0,0,0,0,0,0
istanbul_gaziosmanpasa_2006_11,51818282.440749966,47784675.862068966,51818282.440749966,47784675.862068966,1356,2,26144587.28769828,0,0,0,0,0,0,0,0,0,0,25673695.153051686,0,0,0,0,0,0,24109456.55172414,0,0,0,0,0,0,0,0,0,0,23675219.31034483,0,0,0,0,0,0
istanbul_gaziosmanpasa_2008_4,361399.6613094736,443118.5361972952,361399.6613094736,443118.5361972952,162,1,361399.6613094736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443118.5361972952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
istanbul_gaziosmanpasa_2011_3,6954278.5303385705,8138853.503184713,6954278.5303385705,8138853.503184713,196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6954278.5303385705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8138853.503184713,0,0
istanbul_gaziosmanpasa_2017_4,58938356.35889542,51029352.61246158,58938356.35889542,51029352.61246158,796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58938356.35889542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51029352.61246158,0,0
istanbul_gaziosmanpasa_2018_5,12998985.179674983,10403950.767117014,12998985.179674983,10403950.767117014,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12998985.179674983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403950.767117014,0,0,0,0
istanbul_gaziosmanpasa_2020_8,6205675.633945511,4070477.2475027745,6205675.633945511,4070477.2475027745,NA,1,0,0,0,0,6205675.633945511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070477.2475027745,0,0,0,0,0,0,0,0,0,0,0,0,0
istanbul_gungoren_2018_7,19943806.431841463,19141992.238323268,NA,NA,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19943806.431841463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19141992.238323268,0,0
istanbul_gungoren_2020_6,8044371.351540418,5403181.088574347,8044371.351540418,5403181.088574347,NA,1,0,0,0,0,0,0,0,0,0,8044371.351540418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5403181.088574347,0,0,0,0,0,0,0,0
